"Year","avg","pred","loci","hici"
1985,0.581235626100289,0.574803104039715,0.0759661943894326,1.07364001369
1986,0.544928187233979,0.574740506314599,0.268884271723154,0.880596740906044
1987,0.700387220220097,0.600136627294879,0.305055063872409,0.895218190717349
1988,0.450445079227674,0.649662458968113,0.333086416535964,0.966238501400263
1989,0.795760963971287,0.722163641578179,0.38026889911665,1.06405838403971
1990,0.827469636075659,0.819398174210912,0.477503431749383,1.16129291667244
1991,0.872275844619095,0.806667178585342,0.464772436123813,1.14856192104687
1992,0.660216245665589,0.697953113917862,0.356058371456333,1.03984785637939
1993,0.635413559649264,0.696789959800472,0.354895217338943,1.038684702262
1994,0.781415832511015,0.842529239404562,0.500634496943033,1.18442398186609
1995,1.12723420371095,0.984229271435513,0.642334528973984,1.32612401389704
1996,0.983765794351034,0.969401398202694,0.627506655741165,1.31129614066422
1997,0.76213683808565,0.717803983611762,0.375909241150232,1.05969872607329
1998,0.673312322445284,0.769170317334648,0.427275574873119,1.11106505979618
1999,0.679694512612846,1.20891202484825,0.867017282386719,1.55080676730978
2000,2.45064644578266,1.52680036179581,1.18490561933428,1.86869510425734
2001,1.09280161421952,1.45266731470016,1.11077257223863,1.79456205716169
2002,0.972676125557672,0.976382828879485,0.634488086417956,1.31827757134101
2003,0.548545633964625,0.702361918796107,0.360467176334578,1.04425666125764
2004,0.868310534347837,0.76729647467465,0.425401732213121,1.10919121713618
2005,0.957395933417467,0.850007504520047,0.508112762058518,1.19190224698158
2006,0.788579404045926,0.971409465586525,0.629514723124996,1.31330420804805
2007,1.19140919636387,1.08523668395363,0.743341941492101,1.42713142641516
2008,1.26565429961191,1.28989988352985,0.948005141068317,1.63179462599138
2009,1.41011974545824,1.45040364086535,1.10850889840382,1.79229838332687
2010,1.60664517757258,1.49785642479589,1.15596168233436,1.83975116725742
2011,1.39381649158567,1.46874305023719,1.12684830777566,1.81063779269872
2012,1.39092747311601,1.36217139961937,1.02027665715784,1.7040661420809
2013,1.22146708319021,1.23156051494954,0.914984472517389,1.54813655738169
2014,1.18341187190133,1.18407646244269,0.888994899020222,1.47915802586516
2015,1.00881928947675,1.20353110522019,0.897674870628748,1.50938733981164
2016,1.40422652292089,1.2914594985182,0.792220129133158,1.79069886790323
