% annual mean temperatures over the Northeast US Large Marine Ecosystem from the CMIP-5 ensemble
% provided by James Scott and Mike Alexander, ESRL, May 2017
year	ACCESS1_0	ACCESS1_3	CAN_ESM2	CCSM4	CESM1_BGC	CESM1_CAM5	CMCC_CESM	CMCC_CM	CNRM_CM5	CSIRO_MK3_6_0	GFDL_CM3	GFDL_ESM2G	GFDL_ESM2M	GISS_E2_H	GISS_E2_R	HADGEM2_AO	HADGEM2_CC	HADGEM2_ES	INMCM4	IPSL_CM5A_LR	IPSL_CM5A_MR	IPSL_CM5B_LR	MIROC_ESM	MPI_ESM_LR	MPI_ESM_MR	NORESM1_M	NORESM1_ME
1938	1.740240859985e+01	1.753609466553e+01	1.783206748962e+01	1.956028747559e+01	1.991275978088e+01	1.917011642456e+01	1.567099761963e+01	1.530983734131e+01	1.421361255646e+01	1.413194942474e+01	1.640187644958e+01	1.626134109497e+01	1.550632953644e+01	1.582306575775e+01	1.732516479492e+01	1.601616668701e+01	1.608902931213e+01	1.396839332581e+01	1.761553192139e+01	1.588720703125e+01	1.651728248596e+01	1.333850860596e+01	1.827055358887e+01	1.584938144684e+01	1.425871658325e+01	1.636317825317e+01	1.729681587219e+01
1939	1.747129058838e+01	1.740043830872e+01	1.796482658386e+01	1.982160568237e+01	2.001431083679e+01	1.912677574158e+01	1.564603424072e+01	1.557973480225e+01	1.347237110138e+01	1.446690177917e+01	1.625938034058e+01	1.599882316589e+01	1.545527553558e+01	1.515385913849e+01	1.729905700684e+01	1.607251930237e+01	1.531069755554e+01	1.488747215271e+01	1.691163825989e+01	1.586726665497e+01	1.701090240479e+01	1.330955410004e+01	1.809300994873e+01	1.561570262909e+01	1.405137252808e+01	1.709847450256e+01	1.795470428467e+01
1940	1.721329307556e+01	1.888357353210e+01	1.798757743835e+01	2.006571388245e+01	1.966839027405e+01	1.886149406433e+01	1.565612697601e+01	1.581872558594e+01	1.384616661072e+01	1.398159122467e+01	1.592051315308e+01	1.552661132812e+01	1.488277053833e+01	1.550455188751e+01	1.611514663696e+01	1.617561531067e+01	1.462953948975e+01	1.550795745850e+01	1.703646469116e+01	1.622476196289e+01	1.692975997925e+01	1.331039905548e+01	1.834123992920e+01	1.449099159241e+01	1.508534431458e+01	1.717532920837e+01	1.713116836548e+01
1941	1.785919380188e+01	1.853346252441e+01	1.809433364868e+01	1.952932739258e+01	1.975446701050e+01	1.878964424133e+01	1.520222949982e+01	1.569439983368e+01	1.352638721466e+01	1.474046611786e+01	1.603432083130e+01	1.602912902832e+01	1.430355167389e+01	1.587559604645e+01	1.722724342346e+01	1.649076652527e+01	1.433692264557e+01	1.546895122528e+01	1.749443817139e+01	1.692732238770e+01	1.691766166687e+01	1.347329330444e+01	1.844822120667e+01	1.449444675446e+01	1.516196346283e+01	1.778022003174e+01	1.804339981079e+01
1942	1.770270919800e+01	1.813827323914e+01	1.847642326355e+01	2.028249549866e+01	1.943680572510e+01	1.920938301086e+01	1.522502803802e+01	1.571890449524e+01	1.358792304993e+01	1.422215747833e+01	1.730380821228e+01	1.600158500671e+01	1.537362766266e+01	1.660000419617e+01	1.721185874939e+01	1.729998970032e+01	1.553472137451e+01	1.537599658966e+01	1.702493858337e+01	1.728005218506e+01	1.725795936584e+01	1.462357711792e+01	1.856430625916e+01	1.539094448090e+01	1.486668777466e+01	1.720885658264e+01	1.743997955322e+01
1943	1.862789916992e+01	1.811314773560e+01	1.761940956116e+01	2.020022964478e+01	1.971963691711e+01	1.904249763489e+01	1.421699523926e+01	1.592844772339e+01	1.368266010284e+01	1.473620414734e+01	1.645629692078e+01	1.613782501221e+01	1.509162807465e+01	1.575170326233e+01	1.656296730042e+01	1.566379833221e+01	1.488819313049e+01	1.419930076599e+01	1.714110755920e+01	1.663121795654e+01	1.715278244019e+01	1.451440525055e+01	1.876118087769e+01	1.649817657471e+01	1.388200664520e+01	1.723774147034e+01	1.732936096191e+01
1944	1.740431976318e+01	1.886343193054e+01	1.772766876221e+01	1.952186012268e+01	1.969404029846e+01	1.930394172668e+01	1.498338413239e+01	1.588008785248e+01	1.391636180878e+01	1.421081161499e+01	1.621054077148e+01	1.613121032715e+01	1.559162235260e+01	1.527885627747e+01	1.717026138306e+01	1.704149055481e+01	1.522133636475e+01	1.586346817017e+01	1.689867591858e+01	1.695283889771e+01	1.715648078918e+01	1.479013442993e+01	1.817370605469e+01	1.489386844635e+01	1.452011489868e+01	1.736878395081e+01	1.751436996460e+01
1945	1.761180496216e+01	1.840047454834e+01	1.764216232300e+01	2.005180931091e+01	1.978041648865e+01	1.939786911011e+01	1.537299346924e+01	1.616949653625e+01	1.376569652557e+01	1.505724143982e+01	1.624785423279e+01	1.600956153870e+01	1.564223575592e+01	1.542868900299e+01	1.682686233521e+01	1.632798194885e+01	1.317643356323e+01	1.564792346954e+01	1.709827613831e+01	1.646024131775e+01	1.737707328796e+01	1.456436538696e+01	1.867951011658e+01	1.502728271484e+01	1.382480812073e+01	1.713545417786e+01	1.712004089355e+01
1946	1.780004501343e+01	1.879824829102e+01	1.784312629700e+01	2.033244132996e+01	1.927368927002e+01	1.938000869751e+01	1.508222579956e+01	1.607330513000e+01	1.348211383820e+01	1.436862564087e+01	1.663787269592e+01	1.560275554657e+01	1.602128982544e+01	1.558518600464e+01	1.681862449646e+01	1.610724830627e+01	1.290999221802e+01	1.492477130890e+01	1.687330055237e+01	1.626551055908e+01	1.798249816895e+01	1.430505943298e+01	1.787981605530e+01	1.561344242096e+01	1.481873512268e+01	1.732476806641e+01	1.767304229736e+01
1947	1.770174598694e+01	1.860714530945e+01	1.764384460449e+01	1.997729492188e+01	2.026063728333e+01	1.920089149475e+01	1.507475376129e+01	1.528858089447e+01	1.406387424469e+01	1.452885627747e+01	1.671477317810e+01	1.544026756287e+01	1.586977291107e+01	1.626687240601e+01	1.683848571777e+01	1.486206150055e+01	1.403998756409e+01	1.504275226593e+01	1.760489082336e+01	1.621953964233e+01	1.787561607361e+01	1.315142345428e+01	1.793340873718e+01	1.472570705414e+01	1.486254692078e+01	1.759654617310e+01	1.703973770142e+01
1948	1.779561424255e+01	1.814113044739e+01	1.758287239075e+01	1.949965667725e+01	1.971919441223e+01	1.943509101868e+01	1.510114479065e+01	1.594074440002e+01	1.391787433624e+01	1.473810768127e+01	1.627756309509e+01	1.554972839355e+01	1.533067035675e+01	1.610379409790e+01	1.739401626587e+01	1.472979545593e+01	1.400052738190e+01	1.486894607544e+01	1.734493064880e+01	1.667075538635e+01	1.724322891235e+01	1.326534080505e+01	1.804779624939e+01	1.458376312256e+01	1.432607650757e+01	1.724259948730e+01	1.738766479492e+01
1949	1.773365592957e+01	1.834236145020e+01	1.852555656433e+01	2.020930099487e+01	1.929218673706e+01	1.921618461609e+01	1.497123622894e+01	1.594111919403e+01	1.444531822205e+01	1.482815551758e+01	1.646380233765e+01	1.591753578186e+01	1.526344490051e+01	1.543734645844e+01	1.761813163757e+01	1.576719379425e+01	1.435130882263e+01	1.531561946869e+01	1.683180618286e+01	1.739435577393e+01	1.746989250183e+01	1.385554504395e+01	1.907256126404e+01	1.555740165710e+01	1.470752811432e+01	1.732805824280e+01	1.737450981140e+01
1950	1.739248657227e+01	1.819147682190e+01	1.815697860718e+01	1.975364303589e+01	1.933975028992e+01	1.906540298462e+01	1.506332206726e+01	1.561522102356e+01	1.292421150208e+01	1.480601501465e+01	1.647389030457e+01	1.581970310211e+01	1.556443119049e+01	1.577625751495e+01	1.755527687073e+01	1.620768928528e+01	1.459771442413e+01	1.446221065521e+01	1.707773017883e+01	1.656554412842e+01	1.762099266052e+01	1.324010276794e+01	1.819609260559e+01	1.530648994446e+01	1.502899932861e+01	1.800936126709e+01	1.744145774841e+01
1951	1.768974494934e+01	1.789921379089e+01	1.813810729980e+01	1.992097473145e+01	1.980588340759e+01	1.949367332458e+01	1.591516113281e+01	1.652019119263e+01	1.339806747437e+01	1.449281311035e+01	1.615995216370e+01	1.577353286743e+01	1.554894542694e+01	1.597388935089e+01	1.765830993652e+01	1.633311843872e+01	1.533185100555e+01	1.564532566071e+01	1.721320915222e+01	1.674882316589e+01	1.795551872253e+01	1.272526550293e+01	1.845872497559e+01	1.553369426727e+01	1.461206436157e+01	1.765469360352e+01	1.785934829712e+01
1952	1.799399375916e+01	1.843414878845e+01	1.785791397095e+01	1.981562042236e+01	2.018974494934e+01	1.933498954773e+01	1.488413047791e+01	1.555494403839e+01	1.309345817566e+01	1.366921997070e+01	1.657400894165e+01	1.563303852081e+01	1.626353645325e+01	1.511126995087e+01	1.732714080811e+01	1.632289886475e+01	1.534986400604e+01	1.639701461792e+01	1.667664337158e+01	1.643612098694e+01	1.746749114990e+01	1.548253345490e+01	1.844919395447e+01	1.559902477264e+01	1.478879547119e+01	1.749638175964e+01	1.740177536011e+01
1953	1.719886779785e+01	1.863102531433e+01	1.755285835266e+01	1.926816368103e+01	1.945177268982e+01	1.915086555481e+01	1.554028797150e+01	1.613841629028e+01	1.420130825043e+01	1.448917293549e+01	1.667599105835e+01	1.570235443115e+01	1.543775367737e+01	1.579686450958e+01	1.721424865723e+01	1.609058380127e+01	1.486322593689e+01	1.438475608826e+01	1.727578544617e+01	1.699444389343e+01	1.753835105896e+01	1.436109733582e+01	1.836645698547e+01	1.501183223724e+01	1.408895015717e+01	1.762477684021e+01	1.771491813660e+01
1954	1.665342140198e+01	1.740302467346e+01	1.850680541992e+01	1.929886054993e+01	1.940262603760e+01	1.939011764526e+01	1.560274028778e+01	1.585715675354e+01	1.335165691376e+01	1.457659530640e+01	1.694204711914e+01	1.548190784454e+01	1.552182197571e+01	1.627564811707e+01	1.713941955566e+01	1.563584136963e+01	1.468527507782e+01	1.524623298645e+01	1.680144500732e+01	1.698983764648e+01	1.732510375977e+01	1.392607021332e+01	1.847601318359e+01	1.542338657379e+01	1.530036544800e+01	1.759030914307e+01	1.738008880615e+01
1955	1.775217247009e+01	1.783923530579e+01	1.783992767334e+01	1.980997848511e+01	1.949556732178e+01	1.919532012939e+01	1.495255661011e+01	1.618305015564e+01	1.370018672943e+01	1.363302516937e+01	1.674842071533e+01	1.611747932434e+01	1.552217769623e+01	1.663647270203e+01	1.712950897217e+01	1.551756954193e+01	1.465144634247e+01	1.545262241364e+01	1.734736442566e+01	1.643407058716e+01	1.768379592896e+01	1.390842437744e+01	1.826245498657e+01	1.580873394012e+01	1.478184795380e+01	1.738034248352e+01	1.682605934143e+01
1956	1.757373237610e+01	1.796778869629e+01	1.785880279541e+01	1.988671684265e+01	1.925704002380e+01	1.919491004944e+01	1.537326622009e+01	1.597552204132e+01	1.309248638153e+01	1.455507850647e+01	1.649307632446e+01	1.626701164246e+01	1.550410079956e+01	1.546014118195e+01	1.705997657776e+01	1.500074768066e+01	1.572015476227e+01	1.551121330261e+01	1.785261344910e+01	1.605344772339e+01	1.767504119873e+01	1.455032348633e+01	1.828412055969e+01	1.456777286530e+01	1.518233871460e+01	1.761291503906e+01	1.773882484436e+01
1957	1.749585533142e+01	1.768977737427e+01	1.793666839600e+01	1.956231689453e+01	1.960628700256e+01	1.910132789612e+01	1.533711624146e+01	1.572768211365e+01	1.284069633484e+01	1.446110916138e+01	1.582108020782e+01	1.573445987701e+01	1.522210788727e+01	1.621660232544e+01	1.733027839661e+01	1.619192695618e+01	1.502821254730e+01	1.555297660828e+01	1.710341453552e+01	1.720790481567e+01	1.783750915527e+01	1.418463706970e+01	1.823483276367e+01	1.575345516205e+01	1.449365329742e+01	1.752755546570e+01	1.717700767517e+01
1958	1.781974601746e+01	1.793602180481e+01	1.759396362305e+01	1.941418266296e+01	1.938837432861e+01	1.848795127869e+01	1.648556900024e+01	1.641958045959e+01	1.382126808167e+01	1.395806121826e+01	1.699143028259e+01	1.605771255493e+01	1.491447353363e+01	1.525775623322e+01	1.731108474731e+01	1.605943870544e+01	1.491549301147e+01	1.503047561646e+01	1.808916854858e+01	1.703846549988e+01	1.768157768250e+01	1.489907550812e+01	1.779888725281e+01	1.510624694824e+01	1.539021205902e+01	1.785215568542e+01	1.757059097290e+01
1959	1.793279838562e+01	1.829231834412e+01	1.777206611633e+01	1.933514976501e+01	1.952117729187e+01	1.876418876648e+01	1.658518218994e+01	1.574477577209e+01	1.390043544769e+01	1.426909732819e+01	1.644860839844e+01	1.556440448761e+01	1.539247035980e+01	1.629042434692e+01	1.769062232971e+01	1.567743301392e+01	1.384702301025e+01	1.499761581421e+01	1.746566200256e+01	1.585250186920e+01	1.763516616821e+01	1.445298385620e+01	1.721105575562e+01	1.523940849304e+01	1.446163368225e+01	1.742320632935e+01	1.772183990479e+01
1960	1.755013275146e+01	1.820013809204e+01	1.813843536377e+01	2.024008369446e+01	1.987726593018e+01	1.858556747437e+01	1.610604667664e+01	1.558350753784e+01	1.415280914307e+01	1.450329017639e+01	1.604587364197e+01	1.584455585480e+01	1.540156173706e+01	1.645133399963e+01	1.685526275635e+01	1.528301239014e+01	1.484082508087e+01	1.559558677673e+01	1.785916137695e+01	1.687462043762e+01	1.728233909607e+01	1.371966552734e+01	1.820848083496e+01	1.589873981476e+01	1.533489513397e+01	1.787911033630e+01	1.796779251099e+01
1961	1.777481460571e+01	1.865135955811e+01	1.754528617859e+01	1.975596427917e+01	1.953884315491e+01	1.879660224915e+01	1.590216922760e+01	1.595731353760e+01	1.437013244629e+01	1.398525810242e+01	1.674169349670e+01	1.468954849243e+01	1.529384231567e+01	1.623509216309e+01	1.754307937622e+01	1.577042961121e+01	1.499009799957e+01	1.570806980133e+01	1.726411056519e+01	1.632062530518e+01	1.724450683594e+01	1.261443614960e+01	1.803407287598e+01	1.555198764801e+01	1.511439514160e+01	1.752243232727e+01	1.750967216492e+01
1962	1.769509506226e+01	1.786371994019e+01	1.780728721619e+01	1.989034652710e+01	1.960429382324e+01	1.914145660400e+01	1.596680355072e+01	1.506223297119e+01	1.423374938965e+01	1.390741348267e+01	1.640457725525e+01	1.561765575409e+01	1.545634460449e+01	1.603918838501e+01	1.694239616394e+01	1.603704643250e+01	1.495992279053e+01	1.572174072266e+01	1.651359748840e+01	1.598186016083e+01	1.755340957642e+01	1.151267242432e+01	1.784565353394e+01	1.571945476532e+01	1.523476123810e+01	1.754618263245e+01	1.825440216064e+01
1963	1.674361419678e+01	1.872307777405e+01	1.736758422852e+01	2.001771545410e+01	1.963629341125e+01	1.927946090698e+01	1.566047382355e+01	1.550854587555e+01	1.380348968506e+01	1.505650901794e+01	1.706709098816e+01	1.545559024811e+01	1.535160636902e+01	1.603213882446e+01	1.710529518127e+01	1.615082550049e+01	1.443114471436e+01	1.592682838440e+01	1.678947639465e+01	1.504377555847e+01	1.740641403198e+01	1.294600200653e+01	1.741452026367e+01	1.492356967926e+01	1.545411968231e+01	1.773455429077e+01	1.714488410950e+01
1964	1.642060279846e+01	1.864190483093e+01	1.774018096924e+01	1.940877532959e+01	1.929627609253e+01	1.860057067871e+01	1.605856704712e+01	1.593134784698e+01	1.360814857483e+01	1.428324317932e+01	1.631806755066e+01	1.501642894745e+01	1.559505844116e+01	1.652097320557e+01	1.727653503418e+01	1.619285583496e+01	1.473447799683e+01	1.539918041229e+01	1.725798225403e+01	1.477766036987e+01	1.731528091431e+01	1.275073242188e+01	1.769603919983e+01	1.513255119324e+01	1.521634674072e+01	1.797224044800e+01	1.671105003357e+01
1965	1.678807258606e+01	1.830562973022e+01	1.748698425293e+01	1.896430969238e+01	1.943928146362e+01	1.869025230408e+01	1.628534507751e+01	1.582801532745e+01	1.295859432220e+01	1.362904262543e+01	1.583329391479e+01	1.564603805542e+01	1.583109760284e+01	1.638566780090e+01	1.707070541382e+01	1.528758907318e+01	1.412214946747e+01	1.470849514008e+01	1.718613815308e+01	1.524867153168e+01	1.765289878845e+01	1.304539203644e+01	1.797024917603e+01	1.562746620178e+01	1.510115718842e+01	1.720024108887e+01	1.683720970154e+01
1966	1.732001495361e+01	1.877509880066e+01	1.702698135376e+01	1.969316864014e+01	1.972384643555e+01	1.931543731689e+01	1.604832458496e+01	1.598812103271e+01	1.431286811829e+01	1.419176197052e+01	1.585185909271e+01	1.573235797882e+01	1.503308582306e+01	1.623808860779e+01	1.726028823853e+01	1.606342124939e+01	1.484642982483e+01	1.458476448059e+01	1.733963012695e+01	1.645095062256e+01	1.744279479980e+01	1.301857185364e+01	1.746576118469e+01	1.593676757812e+01	1.417041587830e+01	1.698751831055e+01	1.688335418701e+01
1967	1.699844932556e+01	1.805309677124e+01	1.671305656433e+01	1.949801254272e+01	1.982108688354e+01	1.921721839905e+01	1.528760242462e+01	1.583638572693e+01	1.347718238831e+01	1.394528102875e+01	1.673987960815e+01	1.567572689056e+01	1.524791336060e+01	1.567265319824e+01	1.730055999756e+01	1.607270240784e+01	1.435312080383e+01	1.484581470490e+01	1.794909286499e+01	1.645574569702e+01	1.731760406494e+01	1.387096500397e+01	1.811792564392e+01	1.504112434387e+01	1.576646423340e+01	1.749424552917e+01	1.671922111511e+01
1968	1.781634140015e+01	1.764912414551e+01	1.698134994507e+01	1.984094429016e+01	1.982501411438e+01	1.916409301758e+01	1.635660552979e+01	1.598631095886e+01	1.274109840393e+01	1.472315979004e+01	1.668370819092e+01	1.551616764069e+01	1.491579437256e+01	1.590529441833e+01	1.699078559875e+01	1.630788612366e+01	1.572018623352e+01	1.565232563019e+01	1.780377769470e+01	1.644079017639e+01	1.611151885986e+01	1.363598632812e+01	1.726678848267e+01	1.401405429840e+01	1.496012783051e+01	1.727338600159e+01	1.703709983826e+01
1969	1.772939872742e+01	1.813483428955e+01	1.658556938171e+01	1.943730545044e+01	1.945659446716e+01	1.930915832520e+01	1.589303398132e+01	1.630859947205e+01	1.181235313416e+01	1.454965305328e+01	1.667572212219e+01	1.547524833679e+01	1.487341213226e+01	1.613918113708e+01	1.702675437927e+01	1.532734584808e+01	1.435536670685e+01	1.557731819153e+01	1.797223281860e+01	1.621633529663e+01	1.569511222839e+01	1.223569774628e+01	1.748649024963e+01	1.478502273560e+01	1.415283203125e+01	1.795182228088e+01	1.669522857666e+01
1970	1.790657043457e+01	1.860546493530e+01	1.694500732422e+01	1.993553543091e+01	1.967742156982e+01	1.855933380127e+01	1.619119644165e+01	1.588715553284e+01	1.273762989044e+01	1.431658172607e+01	1.681907463074e+01	1.611693000793e+01	1.493277645111e+01	1.614095115662e+01	1.761398315430e+01	1.635465431213e+01	1.402340888977e+01	1.508050537109e+01	1.768960571289e+01	1.701009178162e+01	1.598959636688e+01	1.449996471405e+01	1.757014846802e+01	1.537521553040e+01	1.498127460480e+01	1.759359169006e+01	1.760841751099e+01
1971	1.725998878479e+01	1.821138572693e+01	1.704561614990e+01	2.001730537415e+01	1.979258728027e+01	1.912347030640e+01	1.643551445007e+01	1.496782779694e+01	1.298867797852e+01	1.396564960480e+01	1.680906867981e+01	1.625397109985e+01	1.471352767944e+01	1.613850593567e+01	1.790747261047e+01	1.676178359985e+01	1.455115318298e+01	1.551536560059e+01	1.712928199768e+01	1.640829277039e+01	1.694119834900e+01	1.503752994537e+01	1.795048141479e+01	1.579816722870e+01	1.502683353424e+01	1.751391983032e+01	1.712173271179e+01
1972	1.703092956543e+01	1.825952339172e+01	1.795472335815e+01	2.000511169434e+01	1.959478950500e+01	1.896815109253e+01	1.540796470642e+01	1.554073429108e+01	1.421415996552e+01	1.397821903229e+01	1.656237602234e+01	1.548764038086e+01	1.491920280457e+01	1.568940162659e+01	1.732533645630e+01	1.492057609558e+01	1.390677261353e+01	1.600509071350e+01	1.710740661621e+01	1.658976173401e+01	1.757014846802e+01	1.402910614014e+01	1.825376129150e+01	1.606329917908e+01	1.578831005096e+01	1.773054313660e+01	1.736107635498e+01
1973	1.762450599670e+01	1.827894210815e+01	1.746829795837e+01	2.002305221558e+01	1.969814872742e+01	1.912573051453e+01	1.551645183563e+01	1.561380863190e+01	1.336342430115e+01	1.428318405151e+01	1.625406837463e+01	1.579331207275e+01	1.549526691437e+01	1.601000976562e+01	1.749549293518e+01	1.531880378723e+01	1.454799175262e+01	1.647225189209e+01	1.736255836487e+01	1.671680450439e+01	1.746698951721e+01	1.545847988129e+01	1.781375503540e+01	1.615080451965e+01	1.581233787537e+01	1.749396324158e+01	1.774957084656e+01
1974	1.798856163025e+01	1.839370155334e+01	1.753066635132e+01	2.038925170898e+01	2.035210990906e+01	1.877997779846e+01	1.595615291595e+01	1.575559139252e+01	1.350059604645e+01	1.307433223724e+01	1.614068222046e+01	1.552914714813e+01	1.550535869598e+01	1.604235267639e+01	1.773124504089e+01	1.662716674805e+01	1.479744148254e+01	1.558807659149e+01	1.681089019775e+01	1.680585861206e+01	1.741444015503e+01	1.487895774841e+01	1.839563941956e+01	1.564479732513e+01	1.559001541138e+01	1.812558555603e+01	1.756851768494e+01
1975	1.760644340515e+01	1.842833137512e+01	1.784535789490e+01	2.027563667297e+01	1.982424163818e+01	1.934701919556e+01	1.469577407837e+01	1.595983791351e+01	1.368190097809e+01	1.397619533539e+01	1.663597869873e+01	1.579634571075e+01	1.554440212250e+01	1.553067302704e+01	1.697431945801e+01	1.584312725067e+01	1.500764369965e+01	1.467235469818e+01	1.766871833801e+01	1.626949501038e+01	1.752532196045e+01	1.427353286743e+01	1.785076522827e+01	1.555260658264e+01	1.466959190369e+01	1.768684005737e+01	1.791661834717e+01
1976	1.775806427002e+01	1.851309204102e+01	1.804455566406e+01	2.003519821167e+01	2.009504699707e+01	1.929125785828e+01	1.474280166626e+01	1.552716064453e+01	1.222783470154e+01	1.452469158173e+01	1.644958877563e+01	1.562138748169e+01	1.610147476196e+01	1.544440269470e+01	1.741063880920e+01	1.599266910553e+01	1.499936389923e+01	1.525440502167e+01	1.670557975769e+01	1.678157043457e+01	1.749575424194e+01	1.511372947693e+01	1.756220817566e+01	1.624330329895e+01	1.466119194031e+01	1.731332015991e+01	1.746842765808e+01
1977	1.716878890991e+01	1.825062179565e+01	1.795325469971e+01	2.008142280579e+01	2.019792747498e+01	1.942590713501e+01	1.487501049042e+01	1.561348247528e+01	1.289941215515e+01	1.412440204620e+01	1.652822875977e+01	1.467561244965e+01	1.553178596497e+01	1.627863502502e+01	1.691896820068e+01	1.508424282074e+01	1.550007724762e+01	1.483807659149e+01	1.661512184143e+01	1.639849662781e+01	1.643771553040e+01	1.426651477814e+01	1.845149612427e+01	1.582438659668e+01	1.507505798340e+01	1.750976562500e+01	1.769931030273e+01
1978	1.727089691162e+01	1.824616622925e+01	1.788052368164e+01	2.040738105774e+01	2.022629737854e+01	1.923271751404e+01	1.512995338440e+01	1.512643146515e+01	1.375648117065e+01	1.468500995636e+01	1.641142082214e+01	1.541321182251e+01	1.531869602203e+01	1.642594528198e+01	1.720853042603e+01	1.575720882416e+01	1.505643653870e+01	1.555012702942e+01	1.703100585938e+01	1.673262214661e+01	1.721783065796e+01	1.415515422821e+01	1.808897972107e+01	1.541265869141e+01	1.525867843628e+01	1.772724914551e+01	1.737357330322e+01
1979	1.797816085815e+01	1.793630599976e+01	1.766322898865e+01	1.968949508667e+01	1.993799400330e+01	1.945040893555e+01	1.485426521301e+01	1.489616107941e+01	1.223270893097e+01	1.428839015961e+01	1.698648262024e+01	1.594324302673e+01	1.572575473785e+01	1.561988449097e+01	1.716078758240e+01	1.576404285431e+01	1.543907260895e+01	1.542819690704e+01	1.710158729553e+01	1.672319793701e+01	1.712557220459e+01	1.494162845612e+01	1.851048469543e+01	1.608277702332e+01	1.523295879364e+01	1.820637130737e+01	1.747284889221e+01
1980	1.758065032959e+01	1.802210998535e+01	1.811605644226e+01	1.977669143677e+01	2.013205718994e+01	1.913252258301e+01	1.527984237671e+01	1.516813850403e+01	1.322620582581e+01	1.413537216187e+01	1.710312080383e+01	1.557347774506e+01	1.552229499817e+01	1.434942150116e+01	1.756407546997e+01	1.605081939697e+01	1.561802101135e+01	1.582166099548e+01	1.770266151428e+01	1.692882919312e+01	1.739821052551e+01	1.529228019714e+01	1.874739265442e+01	1.541814517975e+01	1.534173202515e+01	1.785901641846e+01	1.809761428833e+01
1981	1.759853172302e+01	1.780970764160e+01	1.785703086853e+01	1.990025329590e+01	2.011397552490e+01	1.925701904297e+01	1.552547454834e+01	1.538771820068e+01	1.531310939789e+01	1.417579555511e+01	1.749470329285e+01	1.500447177887e+01	1.539474773407e+01	1.481448650360e+01	1.706908035278e+01	1.537360382080e+01	1.542724609375e+01	1.445194053650e+01	1.805432128906e+01	1.708210563660e+01	1.809054374695e+01	1.397999286652e+01	1.864403533936e+01	1.597962379456e+01	1.426930046082e+01	1.778080368042e+01	1.819585800171e+01
1982	1.752838134766e+01	1.764773941040e+01	1.828922653198e+01	2.004265022278e+01	2.030914878845e+01	1.985193252563e+01	1.585935974121e+01	1.537360000610e+01	1.499609279633e+01	1.437525177002e+01	1.733109474182e+01	1.584434127808e+01	1.562852096558e+01	1.604034233093e+01	1.720840454102e+01	1.522005748749e+01	1.473186588287e+01	1.550813484192e+01	1.734169769287e+01	1.696397972107e+01	1.724547958374e+01	1.411079788208e+01	1.775623321533e+01	1.595070075989e+01	1.423049354553e+01	1.779676437378e+01	1.791886901855e+01
1983	1.674432945251e+01	1.806706237793e+01	1.827573394775e+01	1.947028732300e+01	1.975081634521e+01	1.972684097290e+01	1.656977653503e+01	1.571028804779e+01	1.352388954163e+01	1.424881076813e+01	1.714491462708e+01	1.554463005066e+01	1.513787174225e+01	1.617387962341e+01	1.669204139709e+01	1.481948089600e+01	1.478658866882e+01	1.534834003448e+01	1.711176490784e+01	1.658745002747e+01	1.684387016296e+01	1.449779510498e+01	1.788718795776e+01	1.543615818024e+01	1.509189796448e+01	1.773612403870e+01	1.749513053894e+01
1984	1.800650405884e+01	1.812243270874e+01	1.746041488647e+01	1.972753143311e+01	2.027691459656e+01	1.898929977417e+01	1.620881652832e+01	1.518089675903e+01	1.392484474182e+01	1.449970912933e+01	1.685544776917e+01	1.555966472626e+01	1.538513660431e+01	1.610061264038e+01	1.689388847351e+01	1.471965694427e+01	1.448301219940e+01	1.536658668518e+01	1.732947540283e+01	1.677373695374e+01	1.686369895935e+01	1.412092494965e+01	1.834335327148e+01	1.552293109894e+01	1.588244247437e+01	1.772533988953e+01	1.752787399292e+01
1985	1.677718162537e+01	1.795903205872e+01	1.804910278320e+01	1.999885177612e+01	2.016791534424e+01	1.928159904480e+01	1.576580524445e+01	1.502302932739e+01	1.416320228577e+01	1.403874969482e+01	1.676898002625e+01	1.612181663513e+01	1.537844467163e+01	1.674847793579e+01	1.705773162842e+01	1.570612716675e+01	1.437912464142e+01	1.632962226868e+01	1.823563194275e+01	1.675244903564e+01	1.711417579651e+01	1.410517787933e+01	1.831163787842e+01	1.564562702179e+01	1.505101299286e+01	1.793709182739e+01	1.724171447754e+01
1986	1.738376808167e+01	1.866276931763e+01	1.816209602356e+01	2.053263664246e+01	2.050766563416e+01	1.926127433777e+01	1.603081893921e+01	1.562878990173e+01	1.288048458099e+01	1.423763370514e+01	1.747115898132e+01	1.554152393341e+01	1.577437686920e+01	1.582407760620e+01	1.742636680603e+01	1.552134418488e+01	1.524342727661e+01	1.533708381653e+01	1.841901779175e+01	1.710014343262e+01	1.683928680420e+01	1.338178539276e+01	1.793392562866e+01	1.723676300049e+01	1.501415157318e+01	1.750415039062e+01	1.725314140320e+01
1987	1.763380432129e+01	1.829531288147e+01	1.784461784363e+01	2.030430793762e+01	2.014533042908e+01	1.896948432922e+01	1.572461414337e+01	1.599288845062e+01	1.351637268066e+01	1.416023349762e+01	1.720168304443e+01	1.634238815308e+01	1.596278095245e+01	1.577527523041e+01	1.702461051941e+01	1.519937705994e+01	1.393286418915e+01	1.473763465881e+01	1.793538665771e+01	1.700627136230e+01	1.748430061340e+01	1.473911285400e+01	1.828046226501e+01	1.607052803040e+01	1.565843200684e+01	1.761050605774e+01	1.772242546082e+01
