% annual mean temperatures over the Northeast US Large Marine Ecosystem from the CMIP-5 ensemble
% provided by James Scott and Mike Alexander, ESRL, May 2017
year	ACCESS1_0	ACCESS1_3	CAN_ESM2	CCSM4	CESM1_BGC	CESM1_CAM5	CMCC_CESM	CMCC_CM	CNRM_CM5	CSIRO_MK3_6_0	GFDL_CM3	GFDL_ESM2G	GFDL_ESM2M	GISS_E2_H	GISS_E2_R	HADGEM2_AO	HADGEM2_CC	HADGEM2_ES	INMCM4	IPSL_CM5A_LR	IPSL_CM5A_MR	IPSL_CM5B_LR	MIROC_ESM	MPI_ESM_LR	MPI_ESM_MR	NORESM1_M	NORESM1_ME
1911	1.708097267151e+01	1.816848182678e+01	1.796564865112e+01	1.908596801758e+01	1.945387649536e+01	1.926861381531e+01	1.537977218628e+01	1.620085716248e+01	1.381057357788e+01	1.439288902283e+01	1.653956222534e+01	1.607482528687e+01	1.542545700073e+01	1.577950096130e+01	1.698463630676e+01	1.533146858215e+01	1.385189151764e+01	1.385562229156e+01	1.736995315552e+01	1.536172294617e+01	1.736018562317e+01	1.424058055878e+01	1.720016479492e+01	1.475539302826e+01	1.473079681396e+01	1.720364189148e+01	1.724254417419e+01
1912	1.690814590454e+01	1.802067565918e+01	1.781711959839e+01	1.934635353088e+01	1.933513450623e+01	1.901230049133e+01	1.580409622192e+01	1.568113422394e+01	1.352674579620e+01	1.460467243195e+01	1.618035125732e+01	1.560554885864e+01	1.530886650085e+01	1.550813484192e+01	1.715670967102e+01	1.581454086304e+01	1.514850521088e+01	1.515970802307e+01	1.671841430664e+01	1.602757263184e+01	1.728713798523e+01	1.332239437103e+01	1.703989219666e+01	1.486876869202e+01	1.347379207611e+01	1.719617271423e+01	1.715333747864e+01
1913	1.625535392761e+01	1.803604316711e+01	1.752129173279e+01	1.911617851257e+01	1.951128768921e+01	1.927205085754e+01	1.565224647522e+01	1.574957275391e+01	1.386814498901e+01	1.413543701172e+01	1.654169464111e+01	1.561724281311e+01	1.494558715820e+01	1.537949180603e+01	1.668029403687e+01	1.597999763489e+01	1.454418563843e+01	1.512602233887e+01	1.656738662720e+01	1.611604690552e+01	1.713665008545e+01	1.302443313599e+01	1.655608177185e+01	1.456112194061e+01	1.257015895844e+01	1.671539497375e+01	1.733865737915e+01
1914	1.681101036072e+01	1.838484191895e+01	1.789259719849e+01	1.958864212036e+01	1.948945617676e+01	1.916375160217e+01	1.526864528656e+01	1.611236953735e+01	1.301330375671e+01	1.441876029968e+01	1.620517158508e+01	1.564956378937e+01	1.505663394928e+01	1.550717926025e+01	1.666733360291e+01	1.518948364258e+01	1.364310073853e+01	1.477200222015e+01	1.593200302124e+01	1.653558921814e+01	1.704035186768e+01	1.190505218506e+01	1.731434249878e+01	1.492142581940e+01	1.268574428558e+01	1.671017646790e+01	1.645468711853e+01
1915	1.721482467651e+01	1.849039459229e+01	1.708032608032e+01	2.036247444153e+01	1.916760063171e+01	1.915182685852e+01	1.561647415161e+01	1.515344333649e+01	1.278026485443e+01	1.449250888824e+01	1.676940917969e+01	1.603745841980e+01	1.545675468445e+01	1.510187625885e+01	1.701161193848e+01	1.524125194550e+01	1.361252689362e+01	1.487676239014e+01	1.709636878967e+01	1.686952781677e+01	1.668037986755e+01	1.335813617706e+01	1.708152198792e+01	1.466250324249e+01	1.258018589020e+01	1.754812431335e+01	1.669220924377e+01
1916	1.741061782837e+01	1.806549453735e+01	1.777074813843e+01	1.925045204163e+01	1.900550651550e+01	1.919003868103e+01	1.607657623291e+01	1.598519515991e+01	1.255225276947e+01	1.432640075684e+01	1.612060356140e+01	1.569589042664e+01	1.515352821350e+01	1.566614818573e+01	1.719258499146e+01	1.606996154785e+01	1.527425575256e+01	1.511005592346e+01	1.682471084595e+01	1.656124114990e+01	1.731750106812e+01	1.314654445648e+01	1.689868736267e+01	1.481673717499e+01	1.412559986115e+01	1.694373321533e+01	1.698616409302e+01
1917	1.722926521301e+01	1.818258476257e+01	1.770067787170e+01	1.917143821716e+01	1.935960960388e+01	1.920415115356e+01	1.628118515015e+01	1.552779769897e+01	1.228437900543e+01	1.487860488892e+01	1.666119194031e+01	1.598720073700e+01	1.558898735046e+01	1.594802665710e+01	1.637424659729e+01	1.558602905273e+01	1.366720008850e+01	1.610723114014e+01	1.708989143372e+01	1.676271820068e+01	1.652836608887e+01	1.414363288879e+01	1.740485572815e+01	1.476109981537e+01	1.395808601379e+01	1.726708602905e+01	1.724768257141e+01
1918	1.799821472168e+01	1.803425216675e+01	1.784937858582e+01	1.991225051880e+01	1.985821533203e+01	1.942808723450e+01	1.597829055786e+01	1.595175457001e+01	1.337742042542e+01	1.475798988342e+01	1.658292198181e+01	1.584686946869e+01	1.515177822113e+01	1.594415569305e+01	1.657219696045e+01	1.515280151367e+01	1.427891349792e+01	1.645849418640e+01	1.706820106506e+01	1.576868438721e+01	1.719192123413e+01	1.383799362183e+01	1.689967346191e+01	1.578991031647e+01	1.354506492615e+01	1.750749397278e+01	1.671232032776e+01
1919	1.769814109802e+01	1.847263526917e+01	1.779819679260e+01	1.944287490845e+01	1.966159057617e+01	1.908837699890e+01	1.546914196014e+01	1.589538288116e+01	1.367362594604e+01	1.466143798828e+01	1.639509773254e+01	1.642798995972e+01	1.549336719513e+01	1.632622146606e+01	1.718834304810e+01	1.542720127106e+01	1.443338680267e+01	1.592234420776e+01	1.759035682678e+01	1.578688240051e+01	1.768203353882e+01	1.406672573090e+01	1.793422317505e+01	1.491601848602e+01	1.408109760284e+01	1.747265243530e+01	1.792852973938e+01
1920	1.827382469177e+01	1.853232383728e+01	1.773337936401e+01	1.983483886719e+01	1.925926017761e+01	1.901892662048e+01	1.584411048889e+01	1.625700569153e+01	1.261748123169e+01	1.336956405640e+01	1.678655242920e+01	1.609118461609e+01	1.538981914520e+01	1.551121139526e+01	1.687559890747e+01	1.488538455963e+01	1.504603099823e+01	1.541410636902e+01	1.771224784851e+01	1.656577873230e+01	1.714033126831e+01	1.417752552032e+01	1.772813034058e+01	1.414335060120e+01	1.383867263794e+01	1.766228294373e+01	1.708581542969e+01
