"","age","mean","sd"
"1","Age 1",1.5312722229983,0.824604769047905
"2","Age 2",-0.170257322820334,0.252005121209834
"3","Age 3",-0.169789128869259,0.308517326595288
"4","Age 4",-0.212086583619823,0.221525773103078
"5","Age 5",-0.348348569327685,0.135555431346159
"6","Age 6",-0.208537199208063,0.11489999390488
"7","Age 7",-0.19232117617374,0.104814211738725
"8","Age 8",-0.421315818422747,0.408203379401513
"9","Age 9",-0.503252082261871,0.510447018539448
