"stock","year","age","re"
"haddockGOM",1989,"Age 3",0.256244694678931
"haddockGOM",1989,"Age 4",0.398186546388318
"haddockGOM",1989,"Age 5",0.344583403312757
"haddockGOM",1989,"Age 6",-0.396257081002386
"haddockGOM",1989,"Age 7",-0.928450987714337
"haddockGOM",1989,"Age 8",-1.26612239599375
"haddockGOM",1989,"Age 9",-1.4880368144854
"haddockGOM",1990,"Age 1",-2.68360791167849
"haddockGOM",1990,"Age 2",-0.341595892080178
"haddockGOM",1990,"Age 3",0.119423633687179
"haddockGOM",1990,"Age 4",-0.187557117632735
"haddockGOM",1990,"Age 5",-0.182676423936572
"haddockGOM",1990,"Age 6",-0.188549122300554
"haddockGOM",1990,"Age 7",-0.204619412180218
"haddockGOM",1990,"Age 8",-0.531544901412088
"haddockGOM",1990,"Age 9",-0.52343250516109
"haddockGOM",1991,"Age 1",-2.76641535018501
"haddockGOM",1991,"Age 2",0.0552880019102826
"haddockGOM",1991,"Age 3",0.151799117550074
"haddockGOM",1991,"Age 4",-0.167155015944594
"haddockGOM",1991,"Age 5",0.794789760640163
"haddockGOM",1991,"Age 6",0.503536897440057
"haddockGOM",1991,"Age 7",0.333628713170036
"haddockGOM",1991,"Age 8",-0.0382691876623444
"haddockGOM",1991,"Age 9",-0.136220922121541
"haddockGOM",1992,"Age 1",-1.45533035521727
"haddockGOM",1992,"Age 2",0.608995776542471
"haddockGOM",1992,"Age 3",0.834574468683376
"haddockGOM",1992,"Age 4",0.873252900592034
"haddockGOM",1992,"Age 5",0.186946780161801
"haddockGOM",1992,"Age 6",0.152993525244019
"haddockGOM",1992,"Age 7",-0.194833847280892
"haddockGOM",1992,"Age 8",-0.12499658638376
"haddockGOM",1992,"Age 9",-0.0951431368882574
"haddockGOM",1993,"Age 1",-0.697964266680611
"haddockGOM",1993,"Age 2",0.282783304300082
"haddockGOM",1993,"Age 3",0.174271163267544
"haddockGOM",1993,"Age 4",-0.232986232090287
"haddockGOM",1993,"Age 5",0.0474523899837576
"haddockGOM",1993,"Age 6",0.467467080767329
"haddockGOM",1993,"Age 7",0.715726902387274
"haddockGOM",1993,"Age 8",0.61008206115905
"haddockGOM",1993,"Age 9",0.455728918113643
"haddockGOM",1994,"Age 1",-1.20061352020217
"haddockGOM",1994,"Age 2",-0.0735790677346149
"haddockGOM",1994,"Age 3",-0.132722876650641
"haddockGOM",1994,"Age 4",-0.319978217329834
"haddockGOM",1994,"Age 5",-0.412520258709221
"haddockGOM",1994,"Age 6",0.267803398348862
"haddockGOM",1994,"Age 7",0.545914760087862
"haddockGOM",1994,"Age 8",0.591317783570852
"haddockGOM",1994,"Age 9",0.571147717158072
"haddockGOM",1995,"Age 1",-0.726492158636126
"haddockGOM",1995,"Age 2",1.13632916180257
"haddockGOM",1995,"Age 3",0.0562936556967228
"haddockGOM",1995,"Age 4",-0.0168267709652401
"haddockGOM",1995,"Age 5",-0.0393256060747582
"haddockGOM",1995,"Age 6",0.236591516560992
"haddockGOM",1995,"Age 7",0.278809090372359
"haddockGOM",1995,"Age 8",0.205052888986335
"haddockGOM",1995,"Age 9",0.210778740998537
"haddockGOM",1996,"Age 1",-1.18211777351006
"haddockGOM",1996,"Age 2",0.119630124427095
"haddockGOM",1996,"Age 3",0.216252964661767
"haddockGOM",1996,"Age 4",0.230200627333827
"haddockGOM",1996,"Age 5",-0.0132950334331436
"haddockGOM",1996,"Age 6",0.379277834738442
"haddockGOM",1996,"Age 7",0.633286588490411
"haddockGOM",1996,"Age 8",0.55241634751475
"haddockGOM",1996,"Age 9",0.260838096592608
"haddockGOM",1997,"Age 1",0.476741817778545
"haddockGOM",1997,"Age 2",0.092765469719331
"haddockGOM",1997,"Age 3",0.537151442111187
"haddockGOM",1997,"Age 4",0.281960804467485
"haddockGOM",1997,"Age 5",0.0364382109700516
"haddockGOM",1997,"Age 6",0.164977487108493
"haddockGOM",1997,"Age 7",0.350668049473548
"haddockGOM",1997,"Age 8",0.250446479338631
"haddockGOM",1997,"Age 9",0.0875672151209512
"haddockGOM",1998,"Age 1",0.0201454663061069
"haddockGOM",1998,"Age 2",-0.622159154904092
"haddockGOM",1998,"Age 3",-0.0618452156154543
"haddockGOM",1998,"Age 4",0.10726704706212
"haddockGOM",1998,"Age 5",-0.167679112202562
"haddockGOM",1998,"Age 6",0.100364041171844
"haddockGOM",1998,"Age 7",0.350322230748555
"haddockGOM",1998,"Age 8",0.483622805633307
"haddockGOM",1998,"Age 9",0.369861694274111
"haddockGOM",1999,"Age 1",1.93751869614164
"haddockGOM",1999,"Age 2",-0.0840790242533602
"haddockGOM",1999,"Age 3",0.161288155266498
"haddockGOM",1999,"Age 4",0.906444860817952
"haddockGOM",1999,"Age 5",0.668816812580859
"haddockGOM",1999,"Age 6",0.451158457803187
"haddockGOM",1999,"Age 7",0.733396890565297
"haddockGOM",1999,"Age 8",0.679396271115337
"haddockGOM",1999,"Age 9",0.588030490765853
"haddockGOM",2000,"Age 1",0.854977840618594
"haddockGOM",2000,"Age 2",0.0952581897376064
"haddockGOM",2000,"Age 3",0.56506131009824
"haddockGOM",2000,"Age 4",0.563977571712952
"haddockGOM",2000,"Age 5",0.524463807557138
"haddockGOM",2000,"Age 6",0.302994985838589
"haddockGOM",2000,"Age 7",0.263498851012934
"haddockGOM",2000,"Age 8",0.310633163288949
"haddockGOM",2000,"Age 9",0.375639471797149
"haddockGOM",2001,"Age 1",-0.141759808579344
"haddockGOM",2001,"Age 2",-0.214189761816147
"haddockGOM",2001,"Age 3",-0.184200442053227
"haddockGOM",2001,"Age 4",0.282618452401718
"haddockGOM",2001,"Age 5",0.206725859162944
"haddockGOM",2001,"Age 6",0.266985801075455
"haddockGOM",2001,"Age 7",0.0707864027830887
"haddockGOM",2001,"Age 8",0.0618084057900434
"haddockGOM",2001,"Age 9",0.00751234637962739
"haddockGOM",2002,"Age 1",0.443742528527854
"haddockGOM",2002,"Age 2",-0.541671127918467
"haddockGOM",2002,"Age 3",-0.569702165823922
"haddockGOM",2002,"Age 4",-0.114014793620981
"haddockGOM",2002,"Age 5",-0.194169428241698
"haddockGOM",2002,"Age 6",-0.262861923375048
"haddockGOM",2002,"Age 7",-0.351243726995684
"haddockGOM",2002,"Age 8",-0.13056585323821
"haddockGOM",2002,"Age 9",-0.125068384484897
"haddockGOM",2003,"Age 1",-0.704767872499717
"haddockGOM",2003,"Age 2",-0.506878364206154
"haddockGOM",2003,"Age 3",-0.272320877746782
"haddockGOM",2003,"Age 4",-0.0529725878367602
"haddockGOM",2003,"Age 5",0.33018087280565
"haddockGOM",2003,"Age 6",-0.0562321295740373
"haddockGOM",2003,"Age 7",-0.206056339286006
"haddockGOM",2003,"Age 8",-0.267382367085424
"haddockGOM",2003,"Age 9",-0.443722460418735
"haddockGOM",2004,"Age 1",0.278080587782308
"haddockGOM",2004,"Age 2",-0.628943663109545
"haddockGOM",2004,"Age 3",-0.36527225018402
"haddockGOM",2004,"Age 4",0.233719117426396
"haddockGOM",2004,"Age 5",0.291122914248112
"haddockGOM",2004,"Age 6",0.105098669471815
"haddockGOM",2004,"Age 7",-0.233768752169987
"haddockGOM",2004,"Age 8",-0.255769507834374
"haddockGOM",2004,"Age 9",-0.46712309925026
"haddockGOM",2005,"Age 1",-1.23735646621552
"haddockGOM",2005,"Age 2",0.437156657932965
"haddockGOM",2005,"Age 3",-0.0522411251369927
"haddockGOM",2005,"Age 4",0.0817052250725583
"haddockGOM",2005,"Age 5",0.442085884437875
"haddockGOM",2005,"Age 6",0.190479343686604
"haddockGOM",2005,"Age 7",-0.217099243877852
"haddockGOM",2005,"Age 8",-0.294085329092626
"haddockGOM",2005,"Age 9",-0.460775155051533
"haddockGOM",2006,"Age 1",-0.289219120278618
"haddockGOM",2006,"Age 2",0.110790170364169
"haddockGOM",2006,"Age 3",0.350437133391186
"haddockGOM",2006,"Age 4",-0.0633224443050686
"haddockGOM",2006,"Age 5",0.028355019041796
