Year,Discards
1982,586.8
1983,882.3
1984,913.4
1985,1025.7
1986,1025.9
1987,940
1988,724
1989,833.9
1990,1659.6
1991,705.3
1992,709.9
1993,498.7
1994,216.1
1995,243.7
1996,158.7
1997,89.6
1998,79
1999,1063.8
2000,985.6
2001,1589.1
2002,1373.4
2003,769.9
2004,658
2005,278
2006,359.3
2007,183.6
2008,366.6
2009,788.4
2010,179.1
2011,103
2012,97.3
2013,53.7
2014,27.1
2015,14.3
2016,8.3
2017,15.6
2018,16.6
