	coefficient	
spstock2:exp_rev_total	 .04494344	
spstock2:fuelprice_distance	-.13253372	
spstock2:distance	-.14050213	
spstock2:mean_wind	-.10579639	
spstock2:mean_wind_noreast	-.02978183	
spstock2:permitted	 .12013122	
spstock2:LApermit	 .48473148	
spstock2:choice_prev_fish	 4.2764621	
spstock2:partial_closure	-.52299573	
spstock2:start_of_season	 .11763138	
AmericanPlaiceFlounder:wkly_crew_wage	-.04817462	
AmericanPlaiceFlounder:len	 4.5624641	
AmericanPlaiceFlounder:fuelprice	 .02997847	
AmericanPlaiceFlounder:fuelprice_len	-.04997692	
AmericanPlaiceFlounder:das_price_mean	 .00251597	
AmericanPlaiceFlounder:das_price_mean_len	-.00428136	
AmericanPlaiceFlounder:_cons	-7.8675845	
CodGB:wkly_crew_wage	 -.3432615	
CodGB:len	 7.9663157	
CodGB:fuelprice	 .32242587	
CodGB:fuelprice_len	-.34869912	
CodGB:das_price_mean	 .00354148	
CodGB:das_price_mean_len	-.00780681	
CodGB:_cons	-9.2345454	
CodGOM:wkly_crew_wage	 .06368879	
CodGOM:len	 1.2810623	
CodGOM:fuelprice	 .01191665	
CodGOM:fuelprice_len	 .05125704	
CodGOM:das_price_mean	 .00142306	
CodGOM:das_price_mean_len	-.00362681	
CodGOM:_cons	-5.6892361	
HaddockGB:wkly_crew_wage	-.71975961	
HaddockGB:len	 6.9729279	
HaddockGB:fuelprice	 .05269386	
HaddockGB:fuelprice_len	 .18973998	
HaddockGB:das_price_mean	 .00417878	
HaddockGB:das_price_mean_len	-.00811616	
HaddockGB:_cons	-8.6546021	
HaddockGOM:wkly_crew_wage	 1.2320392	
HaddockGOM:len	 2.0586083	
HaddockGOM:fuelprice	-.65479926	
HaddockGOM:fuelprice_len	 .33903441	
HaddockGOM:das_price_mean	  .0011958	
HaddockGOM:das_price_mean_len	-.00538335	
HaddockGOM:_cons	-6.3775007	
Monkfish:wkly_crew_wage	-.11878455	
Monkfish:len	 3.0942449	
Monkfish:fuelprice	  .1289518	
Monkfish:fuelprice_len	 -.3895037	
Monkfish:das_price_mean	 .00100808	
Monkfish:das_price_mean_len	-.00282431	
Monkfish:_cons	-5.8302717	
Other:wkly_crew_wage	 .04444909	
Other:len	 1.0097893	
Other:fuelprice	-.00570058	
Other:fuelprice_len	 .09478127	
