	GILLNETS_AmericanLobster_1		GILLNETS_CodGB_1		GILLNETS_CodGOM_1		GILLNETS_HaddockGOM_1		GILLNETS_Monkfish_1		GILLNETS_Other_1		GILLNETS_Pollock_1		GILLNETS_Skates_1		GILLNETS_SpinyDogfish_1		GILLNETS_WhiteHake_1		GILLNETS_YellowtailFlounderCCGOM_1		TRAWL_AmericanPlaiceFlounder_1		TRAWL_CodGB_1		TRAWL_CodGOM_1		TRAWL_HaddockGB_1		TRAWL_HaddockGOM_1		TRAWL_Monkfish_1		TRAWL_Other_1		TRAWL_Pollock_1		TRAWL_RedSilverOffshoreHake_1		TRAWL_Redfish_1		TRAWL_SeaScallop_1		TRAWL_SquidMackerelButterfishHerring_1		TRAWL_SummerFlounder_1		TRAWL_WhiteHake_1		TRAWL_WinterFlounderGB_1		TRAWL_WinterFlounderGOM_1		TRAWL_WitchFlounder_1		TRAWL_YellowtailFlounderCCGOM_1		TRAWL_YellowtailFlounderGB_1		TRAWL_YellowtailFlounderSNEMA_1	
Month=5	-.1030216	0.006	-.3946395	0.001	.1378854	0.000	-.4464347	0.001	.3760629	0.000	-.0983779	0.012	-.3266444	0.000	.6637135	0.000	.0415056	0.633	.2906374	0.000	.0903322	0.176	-.2874557	0.000	.3435989	0.000	.4656081	0.000	.3944254	0.000	-.3281992	0.000	-.2447764	0.000	-.1943757	0.000	.1041739	0.000	.2361014	0.000	.2243594	0.000	.2753337	0.000	-.8907969	0.000	-.5786646	0.000	-.1101835	0.000	1.048517	0.000	.05574	0.277	-.3574762	0.000	.1184643	0.003	-.0800171	0.151	-.3263506	0.000
Month=6	-.1050417	0.004	-.253385	0.033	.300997	0.000	-.1780131	0.059	.4126076	0.000	-.3644104	0.000	.1719976	0.000	.3613395	0.000	.6582575	0.000	.5032914	0.000	-.1859424	0.021	-.0781748	0.000	.1513667	0.000	.4766878	0.000	.1894611	0.000	-.4139014	0.000	-.3072892	0.000	-.2657361	0.000	.0494023	0.009	.2492824	0.000	.1108435	0.000	.3347468	0.000	-.5879787	0.000	-.8382148	0.000	-.1418232	0.000	1.016258	0.000	-.0565583	0.388	-.1848177	0.000	.1133408	0.005	-.2621989	0.000	-.7404616	0.000
Month=7	.024966	0.496	-.1632614	0.113	.2713706	0.000	-.466348	0.000	.2978024	0.000	-.352206	0.000	.0460387	0.207	.6016244	0.000	.8909957	0.000	.7112814	0.000	-.5168125	0.000	-.082909	0.000	-.0713999	0.000	.3049215	0.000	.0434229	0.053	-.2741746	0.000	-.281289	0.000	-.2397082	0.000	-.0703741	0.000	.2567942	0.000	-.0053169	0.828	.2468428	0.000	-.6157703	0.000	-.8578014	0.000	-.1190263	0.000	.7812745	0.000	.1466291	0.018	-.2039803	0.000	-.0588541	0.142	-.3991275	0.000	-.2219679	0.002
Month=8	.2196067	0.000	-.2058959	0.050	.2739694	0.000	-.1166433	0.291	.2507045	0.000	-.2612837	0.000	.2307772	0.000	.3899923	0.004	.6791604	0.000	.6977672	0.000	-.7576684	0.000	-.0641737	0.000	-.1213113	0.000	.1577934	0.000	.093015	0.000	-.1394104	0.000	-.3873581	0.000	-.1653928	0.000	-.0966621	0.000	.2889141	0.000	.0097647	0.675	.2165059	0.000	-.853235	0.000	-.8928698	0.000	-.1399234	0.000	.7878473	0.000	.2302598	0.000	-.2284739	0.000	-.1685919	0.000	-.1998784	0.000	-.0806033	0.209
Month=9	.2994792	0.000	-.1403096	0.158	.2114474	0.000	-.4941146	0.000	.1126337	0.004	-.1513808	0.000	.0816426	0.024	-.0057736	0.974	.4440679	0.000	.6566929	0.000	-.514759	0.004	.0180982	0.226	.0352297	0.065	.1951579	0.000	.0908179	0.000	-.1746492	0.000	-.291608	0.000	-.1625148	0.000	-.2019523	0.000	-.0180199	0.581	.0131246	0.556	.1783218	0.000	-.8846903	0.000	-.6839986	0.000	-.1688083	0.000	.6633594	0.000	.0755939	0.176	-.1741838	0.000	-.1044599	0.010	-.2948795	0.000	-.4112824	0.000
Month=10	.3967748	0.000	-.0822965	0.440	.3582961	0.000	.0316809	0.767	.1022626	0.009	-.1347183	0.000	.1077545	0.003	-.2236088	0.100	.4909795	0.000	.6061112	0.000	.4402638	0.001	-.0989379	0.000	.0819705	0.000	.3095043	0.000	-.0681156	0.001	-.2620981	0.000	-.2581381	0.000	.0224694	0.225	-.1822555	0.000	-.0582297	0.098	-.092952	0.000	.0674132	0.176	-.905656	0.000	-.4981556	0.000	-.0937597	0.000	.6441056	0.000	.2614359	0.000	-.1925173	0.000	-.1426646	0.000	-.0938583	0.111	-.2288739	0.001
Month=11	.6116943	0.000	-.2350254	0.032	.5880357	0.000	-.3583225	0.003	.0474198	0.241	-.3399836	0.000	.4818599	0.000	.1298524	0.267	.4376771	0.000	.2995228	0.000	-.2833012	0.003	-.1192292	0.000	.1973913	0.000	.4459204	0.000	-.0368484	0.095	-.1503597	0.000	-.1725715	0.000	.0810581	0.000	-.1178038	0.000	-.0213417	0.508	-.3159539	0.000	.0878507	0.068	-.9285456	0.000	-.0957775	0.000	-.0240679	0.107	.6604309	0.000	.2620677	0.000	-.2831752	0.000	-.0660198	0.089	-.136157	0.015	-.098685	0.086
Month=12	.4915546	0.000	-.2919974	0.011	.255886	0.000	-.222527	0.036	-.1304489	0.002	-.2347173	0.000	.5213422	0.000	.2865365	0.006	.2653724	0.002	.0499267	0.296	-.2427122	0.006	-.0832052	0.000	.2287348	0.000	.3295594	0.000	.180711	0.000	-.0348952	0.245	.012617	0.358	.0107279	0.471	-.0513705	0.010	-.0325436	0.322	-.1656406	0.000	.1010632	0.026	-.2737676	0.000	-.0135533	0.587	.0713114	0.000	.5108187	0.000	.0639377	0.164	-.1321134	0.000	-.1054703	0.009	-.1053385	0.066	-.0694344	0.082
FY=2010											0	.																							0	.																										
FY=2011											-.3369278	0.000																							-.029364	0.011																										
FY=2012											-.3698945	0.000																							-.109723	0.000																										
FY=2013											-.3839226	0.000																							-.0820047	0.000																										
FY=2014											-.108543	0.000																							-.1194163	0.000																										
FY=2015											-.2320441	0.000																							-.1966254	0.000																										
constant	4.281127	0.000	3.320694	0.000	2.281933	0.000	3.643013	0.000	4.270202	0.000	4.746199	0.000	-8.515672	0.000	3.767615	0.000	5.31815	0.000	8.372988	0.000	5.27628	0.000	5.415464	0.000	3.640024	0.000	2.819446	0.000	-8.829897	0.000	3.240297	0.000	5.6654	0.000	4.602248	0.000	-7.016623	0.000	5.353849	0.000	3.600006	0.000	.5232828	0.000	5.689885	0.000	4.61822	0.000	13.52476	0.000	4.114295	0.000	6.382726	0.000	3.625252	0.000	6.035659	0.000	1.418022	0.000	5.17442	0.000
rmse	.5285458		.6432287		.6748183		.6030141		.7345247		.6779867		.7626934		.9313166		.8349563		.6199258		.7358926		.6495333		.7194716		.7164328		.777471		.7031797		.7001972		.8355947		.7890979		.8687823		.8401263		.6515433		.9843573		.6821121		.6426229		.6752399		.6602108		.6047459		.7611081		.7624778		.6924909	
