"","Stock","Total","Commercial","Sector","Common Pool","Recreational","Herring Fishery","Scallop Fishery","State Water","Other","Year","Small Mesh","data_type"
"725","GB Yellowtail Flounder",69.1,8.8,8.7,0.1,NA,NA,59.3,NA,0,2014,1.1,"Discard"
"726","SNE/MA Yellowtail Flounder",91.4,4,3.1,0.9,NA,NA,64.1,0.4,23,2014,NA,"Discard"
"727","CC/GOM Yellowtail Flounder",54.3,15.9,15.8,0.1,NA,NA,NA,0.8,37.6,2014,NA,"Discard"
"728","Plaice",103.8,78.5,78.1,0.4,NA,NA,NA,3.5,21.8,2014,NA,"Discard"
"729","Witch Flounder",113.4,41.5,41.5,0.1,NA,NA,NA,1.8,70.1,2014,NA,"Discard"
"730","GB Winter Flounder",46.5,3,3,0,NA,NA,NA,NA,43.5,2014,NA,"Discard"
"731","GOM Winter Flounder",8.9,4.9,4.9,0,NA,NA,NA,2.1,1.8,2014,NA,"Discard"
"732","SNE/MA Winter Flounder",71.6,4.1,3.1,1.1,NA,NA,NA,0.6,66.9,2014,NA,"Discard"
"733","Redfish",353.8,325.7,323.8,1.9,NA,NA,NA,17,11.1,2014,NA,"Discard"
"734","White Hake",328.9,24.1,22.9,1.2,NA,NA,NA,1.2,303.6,2014,NA,"Discard"
"735","Pollock",143.7,135.1,133.6,1.5,NA,NA,NA,7.6,1,2014,NA,"Discard"
"736","Northern Windowpane",269.3,157.7,157.4,0.3,NA,NA,NA,2.7,108.9,2014,NA,"Discard"
"737","Southern Windowpane",464.2,96.3,68.2,28.1,NA,NA,140,10.2,217.7,2014,NA,"Discard"
"738","Ocean Pout",117.9,33.1,30.8,2.3,NA,NA,NA,1.6,83.2,2014,NA,"Discard"
"739","Halibut",28.6,26.6,26.6,0,NA,NA,NA,1.3,0.6,2014,NA,"Discard"
"740","Wolffish",15.1,14.3,14.3,NA,NA,NA,NA,0.7,0.1,2014,NA,"Discard"
"741","GB Cod",45.1,28.3,27.5,0.8,NA,NA,NA,0.6,16.2,2015,NA,"Discard"
"742","GOM Cod",95.5,94,13.5,0.5,80,NA,NA,0.5,1,2015,NA,"Discard"
"743","GB Haddock",NA,856.7,856.7,0,NA,0.6,NA,18.4,666.5,2015,NA,"Discard"
"744","GOM Haddock",215.1,189.8,46.2,0,143.6,NA,NA,1.5,23.7,2015,NA,"Discard"
"745","GB Yellowtail Flounder",31.7,1.9,1.9,0,NA,NA,29.8,NA,0,2015,0.1,"Discard"
"746","SNE/MA Yellowtail Flounder",51.8,10.9,1.9,8.9,NA,NA,34.6,1,5.4,2015,NA,"Discard"
"747","CC/GOM Yellowtail Flounder",45,18.8,18.3,0.5,NA,NA,NA,0.5,25.7,2015,NA,"Discard"
"748","Plaice",106.6,83.9,81.2,2.7,NA,NA,NA,3,19.8,2015,NA,"Discard"
"749","Witch Flounder",112.1,48.8,42.1,6.7,NA,NA,NA,1.7,61.7,2015,NA,"Discard"
"750","GB Winter Flounder",21.1,4.1,4.1,0,NA,NA,NA,NA,17,2015,NA,"Discard"
"751","GOM Winter Flounder",8.1,2.1,1.9,0.1,NA,NA,NA,1.5,4.5,2015,NA,"Discard"
"752","SNE/MA Winter Flounder",124.4,8.6,4.3,4.3,NA,NA,NA,7.8,108,2015,NA,"Discard"
"753","Redfish",107.8,101.9,101.9,0,NA,NA,NA,3.9,2,2015,NA,"Discard"
"754","White Hake",20.5,14.4,14.4,NA,NA,NA,NA,0.5,5.5,2015,NA,"Discard"
"755","Pollock",787.3,75.8,75.8,NA,NA,NA,NA,295.5,416.1,2015,NA,"Discard"
"756","Northern Windowpane",189.5,73.6,73.6,0,NA,NA,NA,1,114.9,2015,NA,"Discard"
"757","Southern Windowpane",620.6,137.4,90.4,47,NA,NA,210.6,17,255.6,2015,NA,"Discard"
"758","Ocean Pout",76.2,52.3,44.1,8.2,NA,NA,NA,1.7,22.2,2015,NA,"Discard"
"759","Halibut",39.8,37,36.9,0,NA,NA,NA,1.6,1.2,2015,NA,"Discard"
"760","Wolffish",19.7,18.7,18.7,NA,NA,NA,NA,0.7,0.3,2015,NA,"Discard"
"761","GB Cod",66.9,24.6,24.6,0.1,NA,NA,NA,9.5,32.8,2016,NA,"Discard"
"762","GOM Cod",200.2,196.6,9.9,0.3,186.4,NA,NA,0.4,3.3,2016,NA,"Discard"
"763","GB Haddock",NA,945.6,945.6,0,NA,3.6,NA,14,247.2,2016,NA,"Discard"
"764","GOM Haddock",510.5,411,83.6,0.6,326.8,NA,NA,3.6,95.8,2016,NA,"Discard"
"765","GB Yellowtail Flounder",7.3,0.5,0.5,NA,NA,NA,2.1,NA,0,2016,4.8,"Discard"
"766","SNE/MA Yellowtail Flounder",22,3,1.4,1.5,NA,NA,10.7,0.3,8,2016,NA,"Discard"
"767","CC/GOM Yellowtail Flounder",62.2,15.7,14.3,1.3,NA,NA,NA,0.5,46.1,2016,NA,"Discard"
"768","Plaice",122.5,94.6,93,1.5,NA,NA,NA,3.1,24.9,2016,NA,"Discard"
"769","Witch Flounder",117.4,64.4,63.9,0.5,NA,NA,NA,1.9,51.1,2016,NA,"Discard"
"770","GB Winter Flounder",5,1.2,1.2,NA,NA,NA,NA,NA,3.8,2016,NA,"Discard"
"771","GOM Winter Flounder",17.3,5,5,0,NA,NA,NA,7.3,5,2016,NA,"Discard"
"772","SNE/MA Winter Flounder",111.6,9.6,7.7,1.8,NA,NA,NA,1.7,100.3,2016,NA,"Discard"
"773","Redfish",55.9,51.7,51.7,0,NA,NA,NA,1.6,2.7,2016,NA,"Discard"
"774","White Hake",43.6,35.4,35.4,NA,NA,NA,NA,0.9,7.4,2016,NA,"Discard"
"775","Pollock",693.3,74.7,74.7,0,NA,NA,NA,347.4,271.1,2016,NA,"Discard"
"776","Northern Windowpane",83.7,45,45,0,NA,NA,NA,0.7,37.9,2016,NA,"Discard"
"777","Southern Windowpane",404,126.7,108.3,18.4,NA,NA,84.4,14.8,178.1,2016,NA,"Discard"
"778","Ocean Pout",43.3,17.1,16.3,0.8,NA,NA,NA,0.4,25.8,2016,NA,"Discard"
"779","Halibut",39,36.6,36.6,0,NA,NA,NA,1.3,1.1,2016,NA,"Discard"
"780","Wolffish",0.8,0.6,0.6,0,NA,NA,NA,0,0.1,2016,NA,"Discard"
"781","GB Cod",22.8,13.1,12.8,0.3,NA,NA,NA,0.6,9.2,2017,NA,"Discard"
"782","GOM Cod",244.4,237.4,14.1,4.5,218.8,NA,NA,0.7,6.2,2017,NA,"Discard"
"783","GB Haddock",749.8,564.2,564.2,NA,NA,NA,NA,12,173.5,2017,NA,"Discard"
"784","GOM Haddock",405.1,359.3,97.5,0.5,261.3,NA,NA,3.8,42,2017,NA,"Discard"
"785","GB Yellowtail Flounder",53,0.1,0.1,NA,NA,NA,52.6,NA,0,2017,0.4,"Discard"
"786","SNE/MA Yellowtail Flounder",10.1,1.1,1.1,0,NA,NA,4.3,0.2,4.6,2017,NA,"Discard"
"787","CC/GOM Yellowtail Flounder",49.9,18.3,16.4,1.9,NA,NA,NA,0.4,31.1,2017,NA,"Discard"
"788","Plaice",87.6,70.7,70.3,0.4,NA,NA,NA,2.5,14.4,2017,NA,"Discard"
"789","Witch Flounder",93.9,47.2,46.7,0.5,NA,NA,NA,1.7,45,2017,NA,"Discard"
"790","GB Winter Flounder",13.9,0.7,0.7,NA,NA,NA,NA,NA,13.2,2017,NA,"Discard"
"791","GOM Winter Flounder",11.7,3.1,3.1,0,NA,NA,NA,2.1,6.6,2017,NA,"Discard"
"792","SNE/MA Winter Flounder",122,7.7,7.4,0.3,NA,NA,NA,1.1,113.2,2017,NA,"Discard"
"793","Redfish",32.9,29,28.1,0.9,NA,NA,NA,1.2,2.7,2017,NA,"Discard"
"794","White Hake",15.5,7.7,7.7,NA,NA,NA,NA,0.3,7.5,2017,NA,"Discard"
"795","Pollock",866.6,38.1,38.1,0,NA,NA,NA,348.2,480.4,2017,NA,"Discard"
"796","Northern Windowpane",87.4,35.1,33.9,1.2,NA,NA,44.1,0.5,7.7,2017,NA,"Discard"
"797","Southern Windowpane",427.4,71.3,66.3,5,NA,NA,143.9,11.3,200.9,2017,NA,"Discard"
"798","Ocean Pout",28.1,11.1,10.7,0.4,NA,NA,NA,0.3,16.6,2017,NA,"Discard"
"799","Halibut",46.6,42.6,42.6,NA,NA,NA,NA,1.6,2.4,2017,NA,"Discard"
"800","Wolffish",1.7,1.6,1.6,0,NA,NA,NA,0.1,0,2017,NA,"Discard"
