YEAR,TANOM,SSBMT,REC000S,SSBRF0,STOCK,SOURCE
1994,0.369268735,19815,14941,NA,GBHAD,2017HaddockUpdateAssessment
1994,0.369268735,2823,13180,NA,GBYTF,2008GARMIIIAppendix
1995,0.404861662,19220,3913,19.72,GBCOD,SAW55
1995,0.404861662,26025,12203,NA,GBHAD,2017HaddockUpdateAssessment
1995,0.404861662,2941,11672,NA,GBYTF,2008GARMIIIAppendix
1995,0.404861662,149840,30057.1,NA,GBPOL,2017GroundfishOperationalAssessment
1996,0.524382309,4993,13470,NA,GBYTF,2008GARMIIIAppendix
1996,0.524382309,34539,11300,NA,GBHAD,2017HaddockUpdateAssessment
1996,0.524382309,21311,7142,19.72,GBCOD,SAW55
1996,0.524382309,160356,26002.6,NA,GBPOL,2017GroundfishOperationalAssessment
1997,0.583718017,42030,22259,NA,GBHAD,2017HaddockUpdateAssessment
1997,0.583718017,20202,10299,19.72,GBCOD,SAW55
1997,0.583718017,181166,44072.9,NA,GBPOL,2017GroundfishOperationalAssessment
1997,0.583718017,6380,19801,NA,GBYTF,2008GARMIIIAppendix
1998,0.51444474,200740,49083.9,NA,GBPOL,2017GroundfishOperationalAssessment
1998,0.51444474,7262,22402,NA,GBYTF,2008GARMIIIAppendix
1998,0.51444474,20042,4766,19.72,GBCOD,SAW55
1998,0.51444474,48722,13777,NA,GBHAD,2017HaddockUpdateAssessment
1999,0.710305638,21636,11895,19.72,GBCOD,SAW55
1999,0.710305638,56606,45218,NA,GBHAD,2017HaddockUpdateAssessment
1999,0.710305638,9600,24564,NA,GBYTF,2008GARMIIIAppendix
1999,0.710305638,211743,43848.8,NA,GBPOL,2017GroundfishOperationalAssessment
2000,0.614509583,10280,19880,NA,GBYTF,2008GARMIIIAppendix
2000,0.614509583,22256,6106,19.72,GBCOD,SAW55
2000,0.614509583,69096,10206,NA,GBHAD,2017HaddockUpdateAssessment
2000,0.614509583,205244,28251.2,NA,GBPOL,2017GroundfishOperationalAssessment
2001,0.581448908,229109,28098.4,NA,GBPOL,2017GroundfishOperationalAssessment
2001,0.581448908,25624,2605,19.72,GBCOD,SAW55
2001,0.581448908,9300,22331,NA,GBYTF,2008GARMIIIAppendix
2001,0.581448908,81172,78083,NA,GBHAD,2017HaddockUpdateAssessment
2002,0.805048448,237138,16664.2,NA,GBPOL,2017GroundfishOperationalAssessment
2002,0.805048448,20459,3962,19.72,GBCOD,SAW55
2002,0.805048448,10201,15547,NA,GBYTF,2008GARMIIIAppendix
2002,0.805048448,90206,4391,NA,GBHAD,2017HaddockUpdateAssessment
2003,0.7301966,269877,18371.6,NA,GBPOL,2017GroundfishOperationalAssessment
2003,0.7301966,14960,1256,19.72,GBCOD,SAW55
2003,0.7301966,10219,11770,NA,GBYTF,2008GARMIIIAppendix
2003,0.7301966,104172,2079,NA,GBHAD,2017HaddockUpdateAssessment
2004,0.595709977,293015,16538.1,NA,GBPOL,2017GroundfishOperationalAssessment
2004,0.595709977,5869,10472,NA,GBYTF,2008GARMIIIAppendix
2004,0.595709977,11860,6959,19.72,GBCOD,SAW55
2004,0.595709977,91256,249145,NA,GBHAD,2017HaddockUpdateAssessment
2005,0.668253863,287680,21091.8,NA,GBPOL,2017GroundfishOperationalAssessment
2005,0.668253863,10121,1526,19.72,GBCOD,SAW55
2005,0.668253863,91684,5318,NA,GBHAD,2017HaddockUpdateAssessment
2005,0.668253863,4157,14435,NA,GBYTF,2008GARMIIIAppendix
2006,0.704633077,276710,20277.6,NA,GBPOL,2017GroundfishOperationalAssessment
2006,0.704633077,4427,49437,NA,GBYTF,2008GARMIIIAppendix
2006,0.704633077,10441,3985,19.72,GBCOD,SAW55
2006,0.704633077,142283,12866,NA,GBHAD,2017HaddockUpdateAssessment
2007,0.829966651,10970,5848,19.72,GBCOD,SAW55
2007,0.829966651,151258,4175,NA,GBHAD,2017HaddockUpdateAssessment
2007,0.829966651,263865,20416.3,NA,GBPOL,2017GroundfishOperationalAssessment
