"year","Temp_Anomaly","SSP","temp"
1959,-1.10821535885,"SSP126",6.63830718208333
1960,-1.35503957393333,"SSP126",6.391482967
1961,-1.44668733568333,"SSP126",6.29983520525
1962,-1.41121822701667,"SSP126",6.33530431391667
1963,-1.10240723476667,"SSP126",6.64411530616667
1964,-0.76473451785,"SSP126",6.98178802308333
1965,-1.38480351235,"SSP126",6.36171902858333
1966,-1.2768826836,"SSP126",6.46963985733333
1967,-1.32936744351667,"SSP126",6.41715509741667
1968,-1.59940665093333,"SSP126",6.14711589
1969,-1.52780751135,"SSP126",6.21871502958333
1970,-1.00392861926667,"SSP126",6.74259392166667
1971,-1.09175695651667,"SSP126",6.65476558441667
1972,-0.829697027933333,"SSP126",6.916825513
1973,-0.868682200933334,"SSP126",6.87784034
1974,-0.301685987516667,"SSP126",7.44483655341667
1975,0.289528494066666,"SSP126",8.036051035
1976,0.3988259304,"SSP126",8.14534847133333
1977,-0.848608254433334,"SSP126",6.8979142865
1978,-1.02206139793333,"SSP126",6.724461143
1979,-1.24492805176667,"SSP126",6.50159448916667
1980,-0.99180699935,"SSP126",6.75471554158333
1981,-1.31180358918333,"SSP126",6.43471895175
1982,-1.18440210801667,"SSP126",6.56212043291667
1983,-0.773448507266667,"SSP126",6.97307403366667
1984,-0.510453940100001,"SSP126",7.23606860083333
1985,-0.172207306766667,"SSP126",7.57431523416667
1986,0.01053732965,"SSP126",7.75705987058333
1987,-0.564040971516667,"SSP126",7.18248156941667
1988,-0.40067840835,"SSP126",7.34584413258333
1989,-0.627533201266667,"SSP126",7.11898933966667
1990,-0.3560276481,"SSP126",7.39049489283333
1991,0.0399866777333333,"SSP126",7.78650921866667
1992,-1.10441498718333,"SSP126",6.64210755375
1993,-0.4763341891,"SSP126",7.27018835183333
1994,0.268063779983334,"SSP126",8.01458632091667
1995,0.311003263400001,"SSP126",8.05752580433333
1996,-0.16665563685,"SSP126",7.57986690408333
1997,0.132067596733333,"SSP126",7.87859013766667
1998,-0.69709128735,"SSP126",7.04943125358333
1999,0.125588153983333,"SSP126",7.87211069491667
2000,0.326269883233333,"SSP126",8.07279242416667
2001,0.0812748492333331,"SSP126",7.82779739016667
2002,0.407624689566666,"SSP126",8.1541472305
2003,-0.547864156433334,"SSP126",7.1986583845
2004,-1.13513044176667,"SSP126",6.61139209916667
2005,-0.748666494683333,"SSP126",6.99785604625
2006,0.298561356983334,"SSP126",8.04508389791667
2007,-0.492117700766666,"SSP126",7.25440484016667
2008,-0.4736164151,"SSP126",7.27290612583333
2009,-0.3119511686,"SSP126",7.43457137233333
2010,0.280024247233333,"SSP126",8.02654678816667
2011,0.654984435816666,"SSP126",8.40150697675
2012,1.43200361531667,"SSP126",9.17852615625
2013,1.08369787206667,"SSP126",8.830220413
2014,0.916919871483333,"SSP126",8.66344241241667
2015,1.00827850631667,"SSP126",8.75480104725
2016,1.52278328565,"SSP126",9.26930582658333
2017,1.12955600265,"SSP126",8.87607854358333
2018,1.05420982415,"SSP126",8.80073236508333
2019,1.14520496906667,"SSP126",8.89172751
2020,2.10509380348333,"SSP126",9.85161634441667
2021,1.82810884815,"SSP126",9.57463138908333
2022,2.06419723478575,"SSP126",9.81071977571908
2023,1.04091727383553,"SSP126",8.78743981476886
2024,1.21208893675653,"SSP126",8.95861147768986
2025,0.89145820982873,"SSP126",8.63798075076206
2026,0.673632165836909,"SSP126",8.42015470677024
2027,0.680910819390459,"SSP126",8.42743336032379
2028,1.05920049623838,"SSP126",8.80572303717171
2029,0.68167384285776,"SSP126",8.42819638379109
2030,1.23374507985418,"SSP126",8.98026762078751
2031,1.85912860281884,"SSP126",9.60565114375217
2032,0.714987973845198,"SSP126",8.46151051477853
2033,0.111952228110939,"SSP126",7.85847476904427
2034,0.565776614253489,"SSP126",8.31229915518682
2035,0.313121266497509,"SSP126",8.05964380743084
2036,0.482730576443299,"SSP126",8.22925311737663
2037,0.485998809243009,"SSP126",8.23252135017634
2038,1.00742110401865,"SSP126",8.75394364495198
2039,0.973330168970048,"SSP126",8.71985270990338
2040,1.37663329262582,"SSP126",9.12315583355915
2041,0.65932752054835,"SSP126",8.40585006148168
2042,0.944652608935798,"SSP126",8.69117514986913
2043,1.16744783766686,"SSP126",8.91397037860019
2044,1.13641051896035,"SSP126",8.88293305989368
2045,0.130887848328029,"SSP126",7.87741038926136
2046,0.922694759047219,"SSP126",8.66921729998055
2047,0.356039124348809,"SSP126",8.10256166528214
2048,0.269188970516598,"SSP126",8.01571151144993
2049,1.60248938789444,"SSP126",9.34901192882777
2050,1.64291009155531,"SSP126",9.38943263248864
2051,1.38288855202614,"SSP126",9.12941109295947
2052,1.48795327279303,"SSP126",9.23447581372636
2053,1.57626787471393,"SSP126",9.32279041564726
2054,0.442187361395549,"SSP126",8.18870990232888
2055,1.40097927924187,"SSP126",9.1475018201752
2056,1.03238165766474,"SSP126",8.77890419859807
2057,2.37839323840444,"SSP126",10.1249157793378
2058,1.08401243847514,"SSP126",8.83053497940847
2059,1.85519985405226,"SSP126",9.60172239498559
2060,1.45675040360481,"SSP126",9.20327294453814
2061,0.9998532896004,"SSP126",8.74637583053373
2062,1.74117331835959,"SSP126",9.48769585929292
2063,1.66214554640982,"SSP126",9.40866808734315
2064,1.51259628297791,"SSP126",9.25911882391124
2065,1.12220904760891,"SSP126",8.86873158854224
2066,0.860225048992368,"SSP126",8.6067475899257
2067,1.29984894584096,"SSP126",9.04637148677429
2068,1.39016782433268,"SSP126",9.13669036526601
2069,2.13417773521136,"SSP126",9.88070027614469
2070,1.96711607480806,"SSP126",9.71363861574139
2071,1.85191957259935,"SSP126",9.59844211353268
2072,1.69494627931761,"SSP126",9.44146882025094
2073,2.25702172167718,"SSP126",10.0035442626105
2074,2.36092505956453,"SSP126",10.1074476004979
2075,1.70590319851088,"SSP126",9.45242573944421
2076,1.76598120634518,"SSP126",9.51250374727851
2077,2.70109428839081,"SSP126",10.4476168293241
2078,2.20760586706419,"SSP126",9.95412840799752
2079,2.26943478915427,"SSP126",10.0159573300876
2080,1.37219603676645,"SSP126",9.11871857769978
2081,1.68336697410023,"SSP126",9.42988951503356
2082,2.23812232008056,"SSP126",9.98464486101389
2083,2.08581820206037,"SSP126",9.8323407429937
2084,2.54497081542771,"SSP126",10.291493356361
2085,1.55930404256261,"SSP126",9.30582658349594
2086,1.40969894887909,"SSP126",9.15622148981242
2087,1.57774162680384,"SSP126",9.32426416773717
2088,1.78274883249449,"SSP126",9.52927137342782
2089,1.50757436686092,"SSP126",9.25409690779425
2090,1.97526271106705,"SSP126",9.72178525200038
2091,1.74121786970941,"SSP126",9.48774041064274
2092,2.19026995093104,"SSP126",9.93679249186437
2093,2.4818921973781,"SSP126",10.2284147383114
2094,2.30023353544493,"SSP126",10.0467560763783
2095,1.32828464044465,"SSP126",9.07480718137798
2096,2.1649834824933,"SSP126",9.91150602342663
2097,2.50021906968151,"SSP126",10.2467416106148
2098,1.67617122038963,"SSP126",9.42269376132296
2099,1.71227218130278,"SSP126",9.45879472223611
2100,1.84659109333205,"SSP126",9.59311363426538
1959,-1.10821535885,"SSP245",6.63830718208333
1960,-1.35503957393333,"SSP245",6.391482967
1961,-1.44668733568333,"SSP245",6.29983520525
1962,-1.41121822701667,"SSP245",6.33530431391667
1963,-1.10240723476667,"SSP245",6.64411530616667
1964,-0.76473451785,"SSP245",6.98178802308333
1965,-1.38480351235,"SSP245",6.36171902858333
1966,-1.2768826836,"SSP245",6.46963985733333
1967,-1.32936744351667,"SSP245",6.41715509741667
1968,-1.59940665093333,"SSP245",6.14711589
1969,-1.52780751135,"SSP245",6.21871502958333
1970,-1.00392861926667,"SSP245",6.74259392166667
1971,-1.09175695651667,"SSP245",6.65476558441667
1972,-0.829697027933333,"SSP245",6.916825513
1973,-0.868682200933334,"SSP245",6.87784034
1974,-0.301685987516667,"SSP245",7.44483655341667
1975,0.289528494066666,"SSP245",8.036051035
1976,0.3988259304,"SSP245",8.14534847133333
1977,-0.848608254433334,"SSP245",6.8979142865
1978,-1.02206139793333,"SSP245",6.724461143
1979,-1.24492805176667,"SSP245",6.50159448916667
1980,-0.99180699935,"SSP245",6.75471554158333
1981,-1.31180358918333,"SSP245",6.43471895175
1982,-1.18440210801667,"SSP245",6.56212043291667
