"year","Temp_Anomaly","SSP","temp"
1959,-1.20839596137398,"SSP126",6.63830718208333
1960,-1.45522017645732,"SSP126",6.391482967
1961,-1.54686793820732,"SSP126",6.29983520525
1962,-1.51139882954065,"SSP126",6.33530431391667
1963,-1.20258783729065,"SSP126",6.64411530616667
1964,-0.864915120373984,"SSP126",6.98178802308333
1965,-1.48498411487398,"SSP126",6.36171902858333
1966,-1.37706328612398,"SSP126",6.46963985733333
1967,-1.42954804604065,"SSP126",6.41715509741667
1968,-1.69958725345732,"SSP126",6.14711589
1969,-1.62798811387398,"SSP126",6.21871502958333
1970,-1.10410922179065,"SSP126",6.74259392166667
1971,-1.19193755904065,"SSP126",6.65476558441667
1972,-0.929877630457317,"SSP126",6.916825513
1973,-0.968862803457317,"SSP126",6.87784034
1974,-0.40186659004065,"SSP126",7.44483655341667
1975,0.189347891542683,"SSP126",8.036051035
1976,0.298645327876017,"SSP126",8.14534847133333
1977,-0.948788856957317,"SSP126",6.8979142865
1978,-1.12224200045732,"SSP126",6.724461143
1979,-1.34510865429065,"SSP126",6.50159448916667
1980,-1.09198760187398,"SSP126",6.75471554158333
1981,-1.41198419170732,"SSP126",6.43471895175
1982,-1.28458271054065,"SSP126",6.56212043291667
1983,-0.873629109790651,"SSP126",6.97307403366667
1984,-0.610634542623984,"SSP126",7.23606860083333
1985,-0.27238790929065,"SSP126",7.57431523416667
1986,-0.0896432728739835,"SSP126",7.75705987058333
1987,-0.66422157404065,"SSP126",7.18248156941667
1988,-0.500859010873984,"SSP126",7.34584413258333
1989,-0.727713803790651,"SSP126",7.11898933966667
1990,-0.456208250623984,"SSP126",7.39049489283333
1991,-0.0601939247906502,"SSP126",7.78650921866667
1992,-1.20459558970732,"SSP126",6.64210755375
1993,-0.576514791623984,"SSP126",7.27018835183333
1994,0.16788317745935,"SSP126",8.01458632091667
1995,0.210822660876017,"SSP126",8.05752580433333
1996,-0.266836239373983,"SSP126",7.57986690408333
1997,0.0318869942093496,"SSP126",7.87859013766667
1998,-0.797271889873984,"SSP126",7.04943125358333
1999,0.0254075514593497,"SSP126",7.87211069491667
2000,0.226089280709349,"SSP126",8.07279242416667
2001,-0.0189057532906505,"SSP126",7.82779739016667
2002,0.307444087042683,"SSP126",8.1541472305
2003,-0.648044758957317,"SSP126",7.1986583845
2004,-1.23531104429065,"SSP126",6.61139209916667
2005,-0.848847097207317,"SSP126",6.99785604625
2006,0.19838075445935,"SSP126",8.04508389791667
2007,-0.59229830329065,"SSP126",7.25440484016667
2008,-0.573797017623984,"SSP126",7.27290612583333
2009,-0.412131771123984,"SSP126",7.43457137233333
2010,0.179843644709349,"SSP126",8.02654678816667
2011,0.554803833292683,"SSP126",8.40150697675
2012,1.33182301279268,"SSP126",9.17852615625
2013,0.983517269542682,"SSP126",8.830220413
2014,0.816739268959349,"SSP126",8.66344241241667
2015,0.908097903792683,"SSP126",8.75480104725
2016,1.42260268312602,"SSP126",9.26930582658333
2017,1.02937540012602,"SSP126",8.87607854358333
2018,0.954029221626017,"SSP126",8.80073236508333
2019,1.04502436654268,"SSP126",8.89172751
2020,2.00491320095935,"SSP126",9.85161634441667
2021,1.72792824562602,"SSP126",9.57463138908333
2022,1.71092982676477,"SSP126",9.55763297022209
2023,0.850789907252751,"SSP126",8.69749305071007
2024,0.983143921217001,"SSP126",8.82984706467432
2025,0.73228603208305,"SSP126",8.57898917554037
2026,0.55227080945661,"SSP126",8.39897395291393
2027,0.537761506967841,"SSP126",8.38446465042516
2028,0.896208031422041,"SSP126",8.74291117487936
2029,0.686513180903211,"SSP126",8.53321632436053
2030,1.00812424427992,"SSP126",8.85482738773724
2031,1.5992332393266,"SSP126",9.44593638278392
2032,0.595289095581131,"SSP126",8.44199223903845
2033,0.135649724917561,"SSP126",7.98235286837488
2034,0.52214513801658,"SSP126",8.3688482814739
2035,0.37901003004619,"SSP126",8.22571317350351
2036,0.467288881051791,"SSP126",8.31399202450911
2037,0.307181040389381,"SSP126",8.1538841838467
2038,0.823538793532921,"SSP126",8.67024193699024
2039,0.73765408843959,"SSP126",8.58435723189691
2040,1.17277823293449,"SSP126",9.01948137639181
2041,0.67448056824477,"SSP126",8.52118371170209
2042,0.87918869456167,"SSP126",8.72589183801899
2043,1.09276909916315,"SSP126",8.93947224262047
2044,1.06435129108654,"SSP126",8.91105443454386
2045,0.164239504611451,"SSP126",8.01094264806877
2046,0.799656122952691,"SSP126",8.64635926641001
2047,0.37616873408715,"SSP126",8.22287187754447
2048,0.342571076688,"SSP126",8.18927422014532
2049,1.43379461586864,"SSP126",9.28049775932596
2050,1.43951472006247,"SSP126",9.28621786351979
2051,1.20081977310406,"SSP126",9.04752291656138
2052,1.25350557424285,"SSP126",9.10020871770017
2053,1.31915001453838,"SSP126",9.1658531579957
2054,0.46052622468593,"SSP126",8.30722936814325
2055,1.18902136005248,"SSP126",9.0357245035098
2056,0.96237732208311,"SSP126",8.80908046554043
2057,2.03395785899654,"SSP126",9.88066100245386
2058,0.92654016491067,"SSP126",8.77324330836799
2059,1.621243056296,"SSP126",9.46794619975332
2060,1.25799798490856,"SSP126",9.10470112836588
2061,0.88251579680816,"SSP126",8.72921894026548
2062,1.45799251431282,"SSP126",9.30469565777014
2063,1.59494223534709,"SSP126",9.44164537880441
2064,1.28961279835778,"SSP126",9.1363159418151
2065,1.00654616088619,"SSP126",8.85324930434351
2066,0.81063940687227,"SSP126",8.65734255032959
2067,1.03588558619825,"SSP126",8.88258872965557
2068,1.1660506320964,"SSP126",9.01275377555372
2069,1.83688422596251,"SSP126",9.68358736941983
2070,1.66598676642294,"SSP126",9.51268990988026
2071,1.59707942097101,"SSP126",9.44378256442833
2072,1.50174436923898,"SSP126",9.3484475126963
2073,1.86054090105247,"SSP126",9.70724404450979
