"YEAR","T","DOWN_T","TANOM","TANOM_STD"
1901,16.3017578125,9.47499371002911,-0.0671920776349992,9.5421857876641
1902,16.51238250732,9.68561840484911,0.143432617185002,9.5421857876641
1903,16.10972213745,9.2829580349791,-0.259227752685,9.5421857876641
1904,16.03429985046,9.2075357479891,-0.334650039675001,9.5421857876641
1905,16.41921234131,9.59244823883911,0.0502624511750014,9.5421857876641
1906,16.22394943237,9.3971853298991,-0.145000457765001,9.5421857876641
1907,16.19857025146,9.37180614898911,-0.170379638674998,9.5421857876641
1908,16.47157478333,9.6448106808591,0.102624893194999,9.5421857876641
1909,16.25869941711,9.43193531463911,-0.110250473024998,9.5421857876641
1910,15.74261283875,8.91584873627911,-0.626337051384999,9.5421857876641
1911,16.20085716248,9.3740930600091,-0.168092727655001,9.5421857876641
1912,16.02757263184,9.2008085293691,-0.341377258295001,9.5421857876641
1913,16.11604690552,9.28928280304911,-0.252902984614998,9.5421857876641
1914,16.11236953735,9.2856054348791,-0.256580352785001,9.5421857876641
1915,16.68037986755,9.8536157650791,0.311429977414999,9.5421857876641
1916,16.1206035614,9.2938394589291,-0.248346328735,9.5421857876641
1917,16.37424659729,9.54748249481911,0.00529670715500075,9.5421857876641
1918,16.4584941864,9.6317300839291,0.0895442962650002,9.5421857876641
1919,16.39509773254,9.5683336300691,0.026147842404999,9.5421857876641
1920,16.5657787323,9.73901462982911,0.196828842165001,9.5421857876641
1921,16.21649169922,9.38972759674911,-0.152458190914999,9.5421857876641
1922,16.36949920654,9.5427351040691,0.000549316404999445,9.5421857876641
1923,16.33476638794,9.50800228546911,-0.034183502194999,9.5421857876641
1924,16.24180793762,9.4150438351491,-0.127141952515,9.5421857876641
1925,16.19172477722,9.3649606747491,-0.177225112915,9.5421857876641
1926,16.11598587036,9.2892217678891,-0.252964019775,9.5421857876641
1927,16.10563087463,9.2788667721591,-0.263319015505001,9.5421857876641
1928,16.28088378906,9.4541196865891,-0.0880661010750003,9.5421857876641
1929,15.78823375702,8.96146965454911,-0.580716133114999,9.5421857876641
1930,16.13582420349,9.3090601010191,-0.233125686645,9.5421857876641
1931,16.47746276855,9.65069866607911,0.108512878415002,9.5421857876641
1932,16.36840057373,9.54163647125911,-0.000549316404999445,9.5421857876641
1933,16.53204727173,9.70528316925911,0.163097381595001,9.5421857876641
1934,16.38289260864,9.5561285061691,0.0139427185049996,9.5421857876641
1935,16.26077651978,9.4340124173091,-0.108173370355001,9.5421857876641
1936,16.48624229431,9.6594781918391,0.117292404175,9.5421857876641
1937,16.37841415405,9.5516500515791,0.00946426391499955,9.5421857876641
1938,16.26134109497,9.4345769924991,-0.107608795165,9.5421857876641
1939,16.07251930237,9.24575519989911,-0.296430587764998,9.5421857876641
1940,16.11514663696,9.2883825344891,-0.253803253175001,9.5421857876641
1941,16.49076652527,9.66400242279911,0.121816635135001,9.5421857876641
1942,17.20885658264,10.3820924801691,0.839906692505,9.5421857876641
1943,16.49817657471,9.67141247223911,0.129226684575002,9.5421857876641
1944,16.89867591858,10.0719118161091,0.529726028445001,9.5421857876641
1945,16.32798194885,9.5012178463791,-0.0409679412850004,9.5421857876641
1946,16.26551055908,9.4387464566091,-0.103439331055,9.5421857876641
1947,16.26687240601,9.4401083035391,-0.102077484125001,9.5421857876641
1948,16.27756309509,9.4507989926191,-0.0913867950450005,9.5421857876641
1949,16.46380233765,9.63703823517911,0.0948524475150023,9.5421857876641
1950,16.47389030457,9.6471262020991,0.104940414434999,9.5421857876641
1951,16.52019119263,9.69342709015911,0.151241302495002,9.5421857876641
1952,16.43612098694,9.60935688446911,0.0671710968050014,9.5421857876641
1953,16.67599105835,9.84922695587911,0.307041168215001,9.5421857876641
1954,16.65342140198,9.82665729950911,0.284471511845002,9.5421857876641
1955,16.63647270203,9.80970859955911,0.267522811895002,9.5421857876641
1956,16.26701164246,9.44024753998911,-0.101938247674997,9.5421857876641
1957,16.21660232544,9.38983822296911,-0.152347564694999,9.5421857876641
1958,16.99143028259,10.1646661801191,0.622480392455,9.5421857876641
1959,16.44860839844,9.62184429596911,0.0796585083050019,9.5421857876641
1960,16.45133399963,9.6245698971591,0.0823841094949991,9.5421857876641
1961,16.32062530518,9.4938612027091,-0.0483245849550009,9.5421857876641
1962,16.03918838501,9.21242428253911,-0.329761505124999,9.5421857876641
1963,16.15082550049,9.32406139801911,-0.218124389644998,9.5421857876641
1964,16.31806755066,9.49130344818911,-0.0508823394749989,9.5421857876641
1965,16.28534507751,9.45858097503911,-0.0836048126249977,9.5421857876641
1966,16.23808860779,9.41132450531911,-0.130861282344998,9.5421857876641
1967,16.45574569702,9.6289815945491,0.0867958068850001,9.5421857876641
1968,16.35660552979,9.5298414273191,-0.0123443603450006,9.5421857876641
1969,16.21633529663,9.3895711941591,-0.152614593505,9.5421857876641
1970,16.35465431213,9.5278902096591,-0.0142955780050009,9.5421857876641
1971,16.76178359985,9.9350194973791,0.392833709714999,9.5421857876641
1972,16.56237602234,9.73561191986911,0.193426132205001,9.5421857876641
1973,16.47225189209,9.64548778961911,0.103302001955001,9.5421857876641
1974,16.62716674805,9.80040264557911,0.258216857915002,9.5421857876641
1975,16.26949501038,9.4427309079091,-0.099454879755001,9.5421857876641
1976,16.44958877563,9.62282467315911,0.0806388854950022,9.5421857876641
1977,16.39849662781,9.57173252533911,0.0295467376750018,9.5421857876641
1978,16.42594528198,9.5991811795091,0.0569953918449997,9.5421857876641
1979,16.72319793701,9.8964338345391,0.354248046875,9.5421857876641
