"Year","avg"
1964,NA
1965,NA
1966,NA
1967,NA
1968,1.31740626453163
1969,1.15173496306011
1970,1.05045699711588
1971,1.30142406328678
1972,1.28886150043943
1973,4.63732125566991
1974,3.23824744397042
1975,1.40733805235009
1976,1.54432905079422
1977,1.67537666860569
1978,1.86208135750273
1979,2.07072966119774
1980,1.8880147740378
1981,1.30939943610888
1982,4.71788908121227
1983,1.17997699020218
1984,0.99343722553189
1985,1.3793009205061
1986,0.758935210480522
1987,0.574363350428571
1988,0.738532891901973
1989,0.732093400097085
1990,0.700167629059067
1991,1.0557808821777
1992,0.340842065499081
1993,0.425716198234076
1994,0.183244927461388
1995,0.492508840959037
1996,0.619525351152794
1997,0.351568040786679
1998,0.511674256133064
1999,0.340600930195829
2000,0.47121727314683
2001,0.270758465519217
2002,0.305221419784677
2003,0.881140355028891
2004,0.613644088915794
2005,0.538552303280989
2006,0.304879746746345
2007,0.342310852251017
2008,0.216278562861732
2009,0.305568257361202
2010,0.40318998376343
2011,0.224703770435791
2012,0.314961298944775
2013,0.296021891026235
2014,0.248068251615504
2015,0.137983664148864
2016,0.368655249894131
2017,0.660085949199077
