spstock2,totalACL_mt,nonsector_nonrec_fraction,rec_fraction,sector_frac,mults_allocated,mults_nonalloc,non_mult,stockarea
americanlobster,,0,0,1,0,0,1,Unit
americanplaiceflounder,1235,.0705,0,.9295,1,0,0,Unit
codGB,1218,.8126,0,.1874,1,0,0,GB
codGOM,473,.1953,.337,.4677,1,0,0,GOM
haddockGB,75139,.1643,0,.8357,1,0,0,GB
haddockGOM,3430,.035,.275,.69,1,0,0,GOM
halibut,119,.4311,0,.5689,0,1,0,Unit
monkfish,,0,0,1,0,0,1,Unit
nofish,,0,0,1,0,0,0,Unit
oceanpout,155,.1742,0,.8258,0,1,0,Unit
other,,0,0,1,0,0,1,Unit
pollock,20374,.0509,0,.9491,1,0,0,Unit
redfish,9837,.0014,0,.9986,1,0,0,Unit
redsilveroffshorehake,,0,0,1,0,0,1,Unit
seascallop,,0,0,1,0,0,1,Unit
skates,,0,0,1,0,0,1,Unit
spinydogfish,,0,0,1,0,0,1,Unit
squidmackerelbutterfishherring,,0,0,1,0,0,1,Unit
summerflounder,,0,0,1,0,0,1,Unit
whitehake,3572,.0033,0,.9967,1,0,0,Unit
windowpanen,177,.2181,0,.7819,0,1,0,Unit
windowpanes,599,.5157,0,.4843,0,1,0,Unit
winterflounderGB,650,.0066,0,.9934,1,0,0,GB
winterflounderGOM,776,.1785,0,.8215,1,0,0,GOM
winterflounderSNEMA,749,.2678,0,.7322,1,0,0,SNEMA
witchflounder,441,.2467,0,.7533,1,0,0,Unit
wolffish,77,.0026,0,.9974,0,1,0,Unit
yellowtailflounderCCGOM,409,.2729,0,.7271,1,0,0,CCGOM
yellowtailflounderGB,346,.0517,0,.9483,1,0,0,GB
yellowtailflounderSNEMA,256,.157,0,.843,1,0,0,SNEMA
