gffishingyear,q_fy,stockcode,stock_string,spstock2,live_price_nom,live_price_R
2011,1,13,Redfish,redfish,.50994176,.49898294
2011,1,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.0644555,1.0415801
2011,1,15,White Hake,whitehake,1.0384339,1.0161177
2011,1,16,Witch Flounder,witchflounder,1.9955163,1.9526321
2011,1,17,SNEMA Winter Flounder,,1.0594428,1.036675
2011,2,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.3458433,1.3320215
2011,2,2,GBE Cod,codGB,1.946592,1.9266005
2011,2,3,GBW Cod,codGB,1.7488443,1.7308836
2011,2,4,GBE Haddock,haddockGB,1.4547737,1.4398332
2011,2,5,GBW Haddock,haddockGB,1.7933768,1.7749588
2011,2,6,GB Winter Flounder,winterflounderGB,2.0072639,1.9866493
2011,2,7,GB Yellowtail Flounder,yellowtailflounderGB,1.3358783,1.3221588
2011,2,8,GOM Cod,codGOM,2.0056098,1.9850122
2011,2,9,GOM Haddock,haddockGOM,1.8954663,1.8759999
2011,2,10,GOM Winter Flounder,winterflounderGOM,1.9046992,1.8851379
2011,2,11,Plaice,americanplaiceflounder,1.3264006,1.3127785
2011,2,12,Pollock,pollock,.79756325,.78937227
2011,2,13,Redfish,redfish,.67292541,.66601449
2011,2,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.3757917,1.3616623
2011,2,15,White Hake,whitehake,.83414441,.82557774
2011,2,16,Witch Flounder,witchflounder,2.1056895,2.084064
2011,2,17,SNEMA Winter Flounder,,2,1.97946
2011,3,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.3376893,1.3003365
2011,3,2,GBE Cod,codGB,1.844148,1.7926532
2011,3,3,GBW Cod,codGB,1.8154881,1.7647935
2011,3,4,GBE Haddock,haddockGB,1.6836566,1.6366432
2011,3,5,GBW Haddock,haddockGB,1.8303478,1.7792382
2011,3,6,GB Winter Flounder,winterflounderGB,1.9548788,1.9002919
