Stock,Total,DirectedFishery,Sector,Common Pool,Recreational,Herring Fishery,Scallop Fishery,State Water,Other,Year,Small Mesh,data_type
Redfish,4445.4,4429,4423.4,5.6,NA,NA,NA,13.4,3.1,2012,NA,Catch
White Hake,2485.4,2470.6,2446.8,23.8,NA,NA,NA,2.8,12,2012,NA,Catch
Pollock,8092.4,6462.5,6394.7,67.8,NA,NA,NA,532.3,1097.6,2012,NA,Catch
Northern Windowpane,208.9,129.6,129.5,0.1,NA,NA,NA,2.3,77,2012,NA,Catch
Southern Windowpane,520.9,106.5,95.9,10.6,NA,NA,NA,34.4,380,2012,NA,Catch
Ocean Pout,53.2,39.1,35.4,3.6,NA,NA,NA,1.2,13,2012,NA,Catch
Halibut,75.7,60.7,57.4,3.3,NA,NA,NA,13.3,1.7,2012,NA,Catch
Wolffish,32.4,30.2,30,0.1,NA,NA,NA,1,1.2,2012,NA,Catch
GB Cod,1616.3,1572.9,1540.6,32.3,NA,NA,NA,9.2,34.2,2013,NA,Catch
GOM Cod,1418.8,1380.1,732,8.8,639.3,NA,NA,35.8,2.9,2013,NA,Catch
GB Haddock,3330.1,2977.5,2977.1,0.4,NA,290,NA,6.1,56.5,2013,NA,Catch
GOM Haddock,405.7,402.9,169.2,2.2,231.5,0,NA,1.3,1.6,2013,NA,Catch
GB Yellowtail Flounder,93.3,55.8,55.8,0,NA,NA,37.5,0,0,2013,2.5,Catch
SNE/MA Yellowtail Flounder,466.1,373.3,281.9,91.4,NA,NA,48.6,14.5,29.8,2013,NA,Catch
CC/GOM Yellowtail Flounder,453.1,380.5,376.5,4.1,NA,NA,NA,42.8,29.7,2013,NA,Catch
Plaice,1444.6,1395.2,1391.6,3.6,NA,NA,NA,19.6,29.8,2013,NA,Catch
Witch Flounder,745.2,642.3,638.9,3.4,NA,NA,NA,27.1,75.8,2013,NA,Catch
GB Winter Flounder,1763.1,1722,1722,0,NA,NA,NA,0,41,2013,NA,Catch
GOM Winter Flounder,245.6,169.3,167.6,1.7,NA,NA,NA,67.4,8.9,2013,NA,Catch
SNE/MA Winter Flounder,1025.9,788.6,670.4,118.3,NA,NA,NA,55.7,181.6,2013,NA,Catch
Redfish,4023.5,4000.6,3996.2,4.4,NA,NA,NA,19,3.9,2013,NA,Catch
White Hake,2056.3,2045.6,2039.8,5.8,NA,NA,NA,2.3,8.3,2013,NA,Catch
Pollock,7029.1,4915,4878.4,36.5,NA,NA,NA,981.7,1132.4,2013,NA,Catch
Northern Windowpane,280.1,237.5,237.3,0.2,NA,NA,NA,0.9,41.6,2013,NA,Catch
Southern Windowpane,554.7,115.9,86,30,NA,NA,129.1,37.3,272.4,2013,NA,Catch
